question_id,fact_no,fact
V2Q070,1,"The handbook covers programme structure and academic rules, including prior learning, periods of registration, pass marks and classification."
V2Q070,2,"It covers academic and non-academic misconduct, including informal resolution, local disciplinary action and University disciplinary procedures."
V2Q070,3,"It also covers related student-life matters, such as reporting crime, health and safety, jury service, employment and social media."
V2Q071,1,They can apply only after being successfully awarded an eligible qualification.
V2Q071,2,They must have received confirmation from the University that the required report has been made.
V2Q072,1,The Diversity and Equality of Opportunity Policy provides the overarching framework for the University's approach to equality.
V2Q072,2,"Specific equality-related policies, statements and action plans support this overarching framework, including bullying and harassment, parental-leave policies, Equality Objectives, Athena Swan and Race Equality Charter plans."
V2Q073,1,Rejects or corrects the false premise in the question
V2Q073,2,"There is no right of appeal against actions taken under Informal Resolution; instead, the student can request that the matter be reviewed under the Local Disciplinary Action procedures."
V2Q074,1,Yes. A retrospective extenuating-circumstances claim relating to a previous resit may be considered by the Extenuating Circumstances Committee.
V2Q074,2,"The Committee may recommend that the original resit result be disregarded and the resit in the new academic session be counted in its place, for example as a second rather than third attempt."
V2Q075,1,The student should provide evidence that they alerted someone within the University at the time that they were experiencing difficulties with their studies.
V2Q075,2,"This could be a statement or letter from an Academic Adviser, School teaching-support staff, or a central support service, such as Counselling Service or Student Support Services."
V2Q075,3,The person providing the statement must be able to confirm that the circumstances pre-dated the assessment.
V2Q076,1,They can obtain support from trained Guild of Students advisers.
V2Q076,2,"They may seek legal advice at their own expense, but cannot be accompanied by a legal representative or adviser at the investigation meeting."
V2Q076,3,A legally qualified person may compile their written statements on their behalf.
V2Q077,1,Rejects or corrects the false premise in the question
V2Q077,2,"If IAG assesses an appeal or administrative review as likely to fail, the student may be advised to voluntarily interrupt or withdraw from their programme, allowing the University to report the change to UKVI and withdraw sponsorship."
V2Q077,3,"The student may then be required to leave the UK, and would need a new CAS and visa to resume their studies."
V2Q079,1,Inappropriate touching that may reasonably be perceived as sexual and occurs without consent is categorised as a Category 2 or Category 3 breach.
V2Q080,1,"In the non-work context, protection against maternity discrimination applies for 26 weeks after giving birth."
V2Q080,2,This protection includes unfavourable treatment because a woman or breastfeeding parent is breastfeeding.
V2Q081,1,"The University is committed to providing a positive, professional environment based on mutual respect for the experiences, abilities and skills of all individuals."
V2Q081,2,It will take appropriate action against individuals responsible for discrimination or other unacceptable behaviour.
V2Q082,1,"The three stages are Early Resolution, Formal Complaint, and Review."
V2Q083,1,"Both the Undergraduate and Postgraduate Handbooks advise students to secure their belongings by locking doors and windows, securing bicycles, and not leaving valuables unattended."
V2Q083,2,Both advise students to take responsibility for protecting their possessions and to report theft or other crime promptly to the Police and University Campus Support Services.
V2Q084,1,Both handbooks direct a student who has been a victim of crime to first report it to the Police.
V2Q084,2,Both identify the University's Wellbeing Team as a source of ongoing support.
V2Q084,3,Both indicate that the incident can also be reported to the University through its online reporting route.
V2Q085,1,The Undergraduate Handbook focuses on degree classification through weighted marks and classification rules.
V2Q085,2,"The Postgraduate Handbook focuses on the credit volume and academic level required for postgraduate awards, including limited use of Level 6 credit in some structures."
V2Q086,1,Complaints and assessment appeals are separate processes.
V2Q086,2,"Complaints can progress through Early Resolution, Formal Complaint and Review."
V2Q086,3,Eligible challenges to Board of Examiners or assessment decisions use the assessment-appeal route and must meet its specified grounds.
V2Q087,1,"The Attendance Policy makes students responsible for engaging with missed academic content and meeting any Student visa or sponsorship attendance requirements, regardless of whether an absence is authorised."
V2Q087,2,The UKVI Student Route Compliance Policy identifies the Student Attendance Policy as part of the University's connected compliance framework.
V2Q087,3,The UKVI compliance framework requires the University to maintain relevant immigration-related records.
V2Q088,1,"A postgraduate dissertation student is expected to maintain regular contact with their allocated supervisor, and no contact within a rolling one-month period leads to Stage One intervention."
V2Q088,2,"A Student Route student studying abroad can remain on their existing visa and continue to be sponsored by the University, while engagement monitoring remains the responsibility of the Dean of School."
V2Q088,3,"If the University cannot fulfil the required monitoring of a Student Route student studying abroad, their sponsorship may be at risk."
V2Q091,1,"Appendix A sets out the procedures for handling and reviewing student-conduct decisions, including possible appeal outcomes and limits on the reviewer’s powers."
V2Q091,2,Appendix B classifies types of student misconduct and indicates the sanction category that may apply to particular breaches.
V2Q092,1,Appendix A allows the responding student to present mitigating factors for the Panel to consider before deciding the sanction
V2Q092,2,"Appendix B sets out available or indicative sanctions for different breach categories, with sanctions required to be proportionate and relevant; repeated lower-level breaches may be treated as a more serious category."
V2Q093,1,Appendix B indicates that abusive behaviour in an intimate relationship may be treated as Category 2 or 3 misconduct and may be subject to an increased sanction.
V2Q093,2,"An appeal against a Local Disciplinary Action decision is limited to material procedural irregularity, material new information that was previously unavailable for a valid reason, or a sanction that is disproportionate to the offence."
V2Q094,1,Complaints involving harassment or sexual misconduct may be dealt with under relevant policies such as the Student Conduct Policy.
V2Q094,2,"An anonymous report can lead to a student-conduct investigation where supporting evidence indicates that a potential breach may have occurred, such as CCTV or social-media evidence."
V2Q095,1,Harassment or sexual-misconduct complaints may be routed to the Student Conduct Policy and handled through a conduct investigation.
V2Q095,2,"Students involved are expected to engage fully, including attending investigation meetings, agreeing meeting notes or statements, and attending University Disciplinary Panels when required."
V2Q095,3,Persistent failure by a reporting party to engage with the investigation can lead to the investigation being closed.
V2Q100,1,"Before registration, the student must provide the Accommodation Office with an official sponsor letter or purchase order showing the sponsorship value, duration, and where the invoice should be sent."
V2Q100,2,"The student remains responsible for ensuring the accommodation fee is paid, even where they are sponsored."
V2Q100,3,: Students facing financial difficulty may access University financial-support routes such as hardship assistance and advice.
V2Q101,1,"The equality policy encourages discrimination, harassment, bullying or victimisation to be raised with appropriate University staff or through Report and Support, including anonymously."
V2Q101,2,"The Complaints Policy allows harassment or sexual-misconduct complaints to be handled under relevant procedures, including the Student Conduct, Bullying and Harassment, or Staff Disciplinary policies."
V2Q102,1,"The 2025–26 assessment changes separate and clarify Stage 1 appeal grounds for decisions on Personal Extenuating Circumstances, academic integrity, and assessments, marks or awards."
V2Q102,2,"The Undergraduate Handbook identifies complaint and student-conduct routes separately, so students should use the process corresponding to the type of decision or issue being challenged."
