item_id,question_id,system,kind,question_type,label,n_facts,n_present,n_contradicted,source
FL047,V2Q071,S3,answer,factual,correct,2,2,0,labelled
FL048,V2Q072,S0,answer,reasoning,incorrect,2,0,0,labelled
FL049,V2Q002,S2,answer,paraphrased,correct,2,2,0,labelled
FL050,V2Q063,S1,answer,reasoning,partial,2,1,0,labelled
FL051,V2Q042,S3,draft,factual,incorrect,1,0,0,labelled
FL052,V2Q020,S1,answer,paraphrased,partial,2,1,0,labelled
FL053,V2Q074,S3,draft,factual,incorrect,2,0,0,labelled
FL054,V2Q063,S3,draft,reasoning,partial,2,1,0,labelled
FL055,V2Q052,S3,draft,paraphrased,correct,2,2,0,labelled
FL056,V2Q093,S0,answer,multi_document_synthesis,correct,2,2,0,labelled
FL057,V2Q024,S1,answer,factual,correct,1,1,0,labelled
FL058,V2Q008,S1,answer,procedural,incorrect,3,0,0,labelled
FL059,V2Q043,S1,answer,procedural,correct,3,3,0,labelled
FL060,V2Q092,S3,draft,multi_document_comparison,correct,2,2,0,labelled
FL061,V2Q039,S1,answer,paraphrased,partial,2,1,0,labelled
FL062,V2Q005,S2,answer,adversarial_false_premise,partial,3,2,0,labelled
FL063,V2Q043,S0,answer,procedural,incorrect,3,0,2,labelled
FL064,V2Q029,S1,answer,paraphrased,incorrect,2,0,0,labelled
FL065,V2Q020,S2,answer,paraphrased,partial,2,1,0,labelled
FL066,V2Q029,S3,answer,paraphrased,correct,2,2,0,labelled
FL067,V2Q001,S2,answer,paraphrased,partial,4,3,0,labelled
FL068,V2Q002,S0,answer,paraphrased,correct,2,2,0,labelled
FL069,V2Q056,S3,draft,reasoning,correct,2,2,0,labelled
FL070,V2Q073,S3,draft,adversarial_false_premise,correct,2,2,0,labelled
FL071,V2Q052,S2,answer,paraphrased,partial,2,1,0,labelled
FL072,V2Q007,S1,answer,factual,correct,1,1,0,labelled
FL073,V2Q043,S2,answer,procedural,correct,3,3,0,labelled
FL074,V2Q052,S1,answer,paraphrased,incorrect,2,0,0,labelled
FL075,V2Q003,S3,draft,procedural,correct,2,2,0,labelled
FL076,V2Q042,S2,answer,factual,incorrect,1,0,1,labelled
FL077,V2Q093,S1,answer,multi_document_synthesis,incorrect,2,1,1,labelled
FL078,V2Q006,S3,answer,factual,correct,1,1,0,labelled
FL079,V2Q091,S1,answer,multi_document_comparison,partial,2,1,0,labelled
FL080,V2Q038,S2,answer,reasoning,correct,2,2,0,labelled
FL081,V2Q012,S3,draft,adversarial_false_premise,correct,2,2,0,labelled
FL082,V2Q100,S0,answer,multi_document_synthesis,partial,3,2,0,labelled
FL083,V2Q017,S3,draft,procedural,partial,3,2,0,labelled
FL084,V2Q088,S1,answer,multi_document_comparison,partial,3,2,0,labelled
FL085,V2Q039,S3,draft,paraphrased,partial,2,1,0,labelled
FL086,V2Q071,S1,answer,factual,correct,2,2,0,labelled
FL087,V2Q085,S3,draft,multi_document_comparison,incorrect,2,0,0,labelled
FL088,V2Q061,S3,draft,factual,partial,3,2,0,labelled
FL089,V2Q005,S1,answer,adversarial_false_premise,correct,3,3,0,labelled
FL090,V2Q032,S1,answer,factual,incorrect,1,0,0,labelled
FL091,V2Q052,S0,answer,paraphrased,correct,2,2,0,labelled
FL092,V2Q094,S1,answer,multi_document_synthesis,correct,2,2,0,labelled
FL093,V2Q066,S3,draft,reasoning,partial,3,2,0,labelled
FL094,V2Q094,S0,answer,multi_document_synthesis,correct,2,2,0,labelled
FL095,V2Q011,S3,draft,adversarial_false_premise,correct,3,3,0,labelled
FL096,V2Q059,S1,answer,paraphrased,partial,2,1,0,labelled
FL097,V2Q032,S0,answer,factual,incorrect,1,0,0,labelled
FL098,V2Q008,S0,answer,procedural,incorrect,3,0,0,labelled
FL099,V2Q063,S0,answer,reasoning,incorrect,2,0,0,labelled
FL100,V2Q001,S3,draft,paraphrased,partial,4,3,0,labelled
FL101,V2Q063,S2,answer,reasoning,partial,2,1,0,labelled
FL102,V2Q038,S3,answer,reasoning,correct,2,2,0,labelled
FL103,V2Q072,S3,answer,reasoning,correct,2,2,0,labelled
FL104,V2Q061,S1,answer,factual,partial,3,2,0,labelled
FL105,V2Q084,S3,draft,multi_document_comparison,partial,3,2,0,labelled
FL106,V2Q029,S2,answer,paraphrased,correct,2,2,0,labelled
FL107,V2Q039,S0,answer,paraphrased,incorrect,2,0,0,labelled
FL108,V2Q071,S2,answer,factual,correct,2,2,0,labelled
FL109,V2Q077,S3,draft,adversarial_false_premise,partial,3,1,0,labelled
FL110,V2Q095,S3,draft,multi_document_synthesis,partial,3,2,0,labelled
FL111,V2Q039,S2,answer,paraphrased,partial,2,1,0,labelled
FL112,V2Q100,S3,answer,multi_document_synthesis,partial,3,2,0,labelled
FL113,V2Q093,S3,draft,multi_document_synthesis,incorrect,2,0,1,labelled
FL114,V2Q042,S0,answer,factual,incorrect,1,0,0,labelled
FL115,V2Q050,S3,draft,reasoning,incorrect,2,0,0,labelled
FL116,V2Q061,S0,answer,factual,incorrect,3,0,0,labelled
FL117,V2Q087,S3,draft,multi_document_comparison,partial,3,2,0,labelled
FL118,V2Q020,S3,draft,paraphrased,correct,2,2,0,labelled
FL119,V2Q029,S0,answer,paraphrased,incorrect,2,0,0,labelled
FL120,V2Q075,S0,answer,procedural,incorrect,3,0,0,labelled
FL121,V2Q100,S2,answer,multi_document_synthesis,incorrect,3,0,0,labelled
FL122,V2Q071,S0,answer,factual,partial,2,1,0,labelled
FL123,V2Q102,S3,draft,multi_document_synthesis,incorrect,2,0,0,labelled
FL124,V2Q042,S1,answer,factual,incorrect,1,0,0,labelled
FL125,V2Q075,S3,answer,procedural,partial,3,2,0,labelled
FL126,V2Q080,S1,answer,paraphrased,correct,2,2,0,labelled
FL127,V2Q080,S0,answer,paraphrased,incorrect,2,0,1,labelled
FL128,V2Q079,S3,draft,factual,incorrect,1,0,0,labelled
FL129,V2Q005,S0,answer,adversarial_false_premise,incorrect,3,0,0,labelled
FL130,V2Q014,S3,draft,factual,correct,1,1,0,labelled
FL131,V2Q038,S1,answer,reasoning,partial,2,1,0,labelled
FL132,V2Q016,S3,draft,factual,correct,1,1,0,labelled
FL133,V2Q007,S3,answer,factual,correct,1,1,0,labelled
FL134,V2Q088,S0,answer,multi_document_comparison,partial,3,1,0,labelled
FL135,V2Q058,S3,draft,factual,incorrect,1,0,1,labelled
FL136,V2Q100,S1,answer,multi_document_synthesis,partial,3,1,0,labelled
FL137,V2Q002,S1,answer,paraphrased,correct,2,2,0,labelled
FL138,V2Q059,S3,answer,paraphrased,partial,2,1,0,labelled
FL139,V2Q007,S2,answer,factual,correct,1,1,0,labelled
FL140,V2Q013,S3,draft,factual,incorrect,1,0,0,labelled
FL141,V2Q051,S3,draft,procedural,correct,3,3,0,labelled
FL142,V2Q080,S2,answer,paraphrased,partial,2,1,0,labelled
FL143,V2Q093,S2,answer,multi_document_synthesis,incorrect,2,0,1,labelled
FL144,V2Q020,S0,answer,paraphrased,incorrect,2,0,0,labelled
FL145,V2Q006,S1,answer,factual,correct,1,1,0,labelled
FL146,V2Q091,S2,answer,multi_document_comparison,correct,2,2,0,labelled
FL147,V2Q024,S2,answer,factual,correct,1,1,0,labelled
,V2Q005,S3,answer,adversarial_false_premise,refused,3,0,0,automatic
,V2Q011,S3,answer,adversarial_false_premise,refused,3,0,0,automatic
,V2Q061,S3,answer,factual,refused,3,0,0,automatic
,V2Q042,S3,answer,factual,refused,1,0,0,automatic
,V2Q091,S3,answer,multi_document_comparison,refused,2,0,0,automatic
,V2Q084,S1,answer,multi_document_comparison,empty,3,0,0,automatic
,V2Q084,S3,answer,multi_document_comparison,refused,3,0,0,automatic
,V2Q088,S3,answer,multi_document_comparison,refused,3,0,0,automatic
,V2Q093,S3,answer,multi_document_synthesis,refused,2,0,0,automatic
,V2Q001,S3,answer,paraphrased,refused,4,0,0,automatic
,V2Q052,S3,answer,paraphrased,refused,2,0,0,automatic
,V2Q020,S3,answer,paraphrased,refused,2,0,0,automatic
,V2Q039,S3,answer,paraphrased,refused,2,0,0,automatic
,V2Q063,S3,answer,reasoning,refused,2,0,0,automatic
