item_id,question_id,answer_shown
FL011,V2Q061,"The roles are divided such that the Academic Integrity Office (AIO) investigates academic-integrity offences, and the Academic Integrity Committee (AIC) makes recommendations to the relevant Board of Examiners based on the AIO's findings."
FL012,V2Q080,The protection against maternity discrimination in the non-work context applies for **26 weeks after giving birth**.
FL013,V2Q002,"Students and staff should raise concerns by reporting incidents to their line manager, Head of Department, HR Business Partner, or programme leader, and/or using the University’s Report and Support provision (named or anonymously). They should also challenge unlawful behavior through appropriate departmental structures or reporting procedures, such as Report & Support."
FL014,V2Q011,"The appeal papers must be provided **no less than 5 working days prior to the hearing**. Submitting them on the day of the hearing would violate this requirement. Therefore, the statement is incorrect."
FL015,V2Q091,"I don't have specific information about the roles of Appendix A and Appendix B in the University of Liverpool's student-conduct process, as this would depend on their current policies or documentation. To get accurate details, I recommend checking the official student conduct policy document or contacting the University's student support office directly."
FL016,V2Q084,"The Undergraduate and Postgraduate Handbooks both advise that if a student has been a victim of crime and needs ongoing support, they should first report the incident to the Police. After this, they should contact the Wellbeing Team or Campus Support for further assistance. Both handbooks emphasize this sequence to ensure immediate safety and access to support services."
FL017,V2Q088,"The monitoring expectations differ as follows: 

1. **Postgraduate dissertation students** are required to maintain regular contact with their supervisor (at least once per semester) and must be available during normal office hours. Failure to respond within a one-month period triggers escalation to Stage One of the intervention process. 

2. **Student Route students studying abroad** are monitored by their School’s Dean for engagement, but UKVI compliance risks (e.g., failure to meet monitoring duties abroad) are assessed by the Global Opportunities Team. If monitoring cannot be fulfilled, the University may withdraw sponsorship, requiring a new visa. 

The key differences are the focus of monitoring (supervisor engagement vs. compliance/visa adherence) and the consequences (intervention process vs. visa cancellation)."
FL018,V2Q088,"The monitoring expectations differ as follows: 
- A postgraduate student working on a dissertation is expected to maintain regular contact with their supervisor and must be available during normal office hours. If no contact occurs within a rolling one-month period, they are escalated to Stage One of the intervention process. 
- A Student Route student studying abroad is monitored by the Dean of School for engagement, but the Global Opportunities Team handles UKVI compliance risks. If monitoring cannot be fulfilled at the study abroad location, the University may withdraw sponsorship, requiring a new visa. Additionally, during study abroad periods, the University’s standard attendance expectations and intervention thresholds do not apply. 

These differences highlight stricter academic supervision for dissertation students versus compliance-focused monitoring for Student Route students abroad."
FL019,V2Q076,"A responding student has the following support and representation options during a conduct investigation meeting: 
1. They may be accompanied by one other person (e.g., a friend or family member) for support purposes,,. 
2. They are entitled to seek independent legal advice at their own expense, and their statements can be compiled by a legally qualified person on their behalf. 
3. The Guild of Students’ Advice Service provides trained advisers who can offer support and representation,,. 

These options are explicitly stated in the evidence. The assumption that a legal representative is permitted is incorrect, as clarifies that students cannot be accompanied by a legal representative at the meeting."
FL020,V2Q086,"The evidence provided does not explicitly distinguish between the complaints route and an assessment appeal. While both the Undergraduate and Postgraduate Handbooks mention assessment appeals (e.g.,,,) and reference the Student Complaints Policy (e.g.,), they do not provide specific details on how the complaints route differs from an assessment appeal. The distinction is not clearly outlined in the given evidence."
FL021,V2Q075,"The answer is based on the following evidence: 

- states that ""in some cases where it is accepted that independent documentary evidence is not available, less independent evidence may be acceptable."" This directly addresses the scenario where independent evidence is unavailable. 
- provides specific examples of alternative evidence (e.g., funeral order of service, letter from a clergyman, or obituary) that can be submitted in place of independent documentary evidence for certain circumstances like bereavement. 

Thus, when no independent documentary evidence is available, less independent evidence (as outlined in) or specific alternative evidence (as detailed in) may be accepted, depending on the circumstances."
FL022,V2Q024,"The Student Route visa holder who reaches Stage Three and fails to meet the agreed re-engagement conditions must be referred to the UKVI Attendance Compliance Panel. This referral is required within ten working days, and the student is not obligated to attend unless specifically invited."
FL023,V2Q082,"The three stages of the Student Complaints Procedure described in the Postgraduate Handbook are **Early Resolution**, **Formal Complaint**, and **Review**."
FL024,V2Q015,"The assumption in the question is incorrect. According to the evidence, registration and fee liability **do not automatically stop** if a student stops attending without completing the formal withdrawal or suspension process. 

- and explicitly state that registration remains active and fee liability continues unless the official withdrawal/suspension form is completed. 
- and emphasize that failing to inform the Student Loans Company (SLC) or the University about changes (e.g., withdrawal) may result in ongoing financial obligations. 

Thus, the correct answer is: **No, this is not correct. Registration and fee liability persist unless the formal process is completed**."
FL025,V2Q001,"A Student Route visa holder moving to another UK university for an intercalated year would typically need to provide **evidence of a confirmed offer or acceptance from the new university** (e.g., an offer letter or confirmation of enrollment). They may also need to demonstrate continued compliance with their Student Route visa conditions, such as proof of sufficient funds or valid visa status. 

The **deadline** for submitting this evidence to the University of Liverpool would likely be **before the start of the new academic term** at the new institution. However, the exact date and specific requirements (e.g., additional documents) should be confirmed directly with the **University of Liverpool’s International Office** or Student Visa Support team, as policies can vary. 

If you are unsure, it is critical to seek clarification from the university to avoid any risk to your visa status."
FL026,V2Q008,"After a student is notified that programme-fee payments remain outstanding, the University will give them 5 working days to settle the outstanding balance. If the student fails to pay within this period, the University will apply academic sanctions, including restricting access to Library services, removing their MWS account (and access to University IT facilities), and limiting access to the Graduate Document Portal and secure document requests. These sanctions remain in place until the debt is settled or a payment arrangement is established."
FL027,V2Q011,"I'm not certain about the specific policy at the University of Liverpool regarding submitting appeal papers on the day of the hearing. It’s important to confirm this directly with the University’s Student Services or the relevant disciplinary office, as procedures can vary. I recommend checking their official guidelines or contacting them for accurate information."
FL028,V2Q038,"The Postgraduate Handbook advises students to use the correct academic regulations and codes for their cohort and degree to ensure they follow the specific rules, requirements, and deadlines applicable to their program and year of study. This helps avoid errors in assessments, submissions, or compliance, which could impact their academic progress or outcomes. Regulations may vary between cohorts (e.g., due to changes in policies or program structures) and degrees (e.g., differing module requirements or assessment criteria), so using the correct ones ensures accuracy and fairness."
FL029,V2Q075,"When no independent documentary evidence is available, an extenuating-circumstances claim can be supported by providing evidence that you alerted someone within the University (e.g., an academic adviser, teaching support staff, or a central support service) at the time of the difficulties."
FL030,V2Q055,The undergraduate student should first report the incident to the Police and Campus Support to ensure their safety and seek further assistance.
FL031,V2Q001,"The evidence required is proof of registration at the other UK HEI, and it must be submitted within 10 working days of completing registration. This is specified in."
FL032,V2Q083,"The evidence provided only includes information from the **Postgraduate Handbook** (evidence). There is no mention of advice from the **Undergraduate Handbook** in the given evidence. Since the question requires comparing both handbooks, but the evidence does not contain any information about the Undergraduate Handbook’s guidance on securing belongings or reporting theft, it is impossible to determine whether the advice differs materially. 

Answer: The evidence does not provide information about the Undergraduate Handbook’s advice, so a comparison cannot be made."
FL033,V2Q094,"A complaint involving harassment or sexual misconduct can move into the student-conduct process if it is made by a student against another student, as such cases fall under the **Student Conduct Policy**. If the original report is anonymous, the university may still investigate if there is supporting evidence (e.g., CCTV footage or social media posts) or if exceptional circumstances exist (e.g., genuine fear of reprisals), though this is the exception rather"
FL034,V2Q006,"I'm not certain about the specific expectations for student participation in a student-conduct investigation at the University of Liverpool, as this would depend on the university's official policies and procedures. For accurate and detailed information, I recommend consulting the university's student conduct guidelines or contacting their student support services directly."
FL035,V2Q070,"The Postgraduate Handbook's sections on programme rules cover topics such as eligibility for awards, academic requirements (e.g., individual subject benchmarks, vocational/non-vocational programmes), research components, and transferable skills. There is no explicit mention of student conduct in the provided Postgraduate Handbook evidence. Student conduct rules are referenced in the University’s Payment Policy, not the Postgraduate Handbook. 

Answer: The Postgraduate Handbook covers programme rules related to eligibility, academic requirements, research components, and transferable skills. Student conduct is not covered in the provided Postgraduate Handbook sections."
FL036,V2Q011,"The evidence does not support the claim that appeal papers can be provided on the day of the hearing. According to and, an appeal must be submitted **within 10 working days of receiving the outcome letter**, and it must include specific details (e.g., hearing date). There is no mention of submitting appeal papers on the day of the hearing itself. Therefore, the assumption is incorrect. 

ANSWER: No, this is not correct. The appeal must be submitted within 10 working days of receiving the outcome letter, not on the day of the hearing."
FL037,V2Q091,"Appendix A outlines the procedural steps for handling student conduct cases, including criteria for referring cases to a Full Hearing and the role of the Student Conduct Manager in reviewing cases. Appendix B provides a non-exhaustive list of student conduct breaches and the indicative sanctions associated with each, guiding decisions on penalties."
FL038,V2Q101,"The equality policy (Evidence and) establishes legal obligations under the Equality Act 2010 and promotes an inclusive environment by requiring students and staff to refrain from unlawful discrimination, harassment, or sexual misconduct. The complaints policy (Evidence and) provides the procedural framework for addressing such issues, allowing students to report incidents and ensuring they are handled under relevant policies (e.g., Student Conduct Policy, Bullying and Harassment Policy). Together, the equality policy sets the standards and legal framework, while the complaints policy enforces accountability through structured reporting and resolution processes.,,,"
FL039,V2Q059,"A concern should move from Early Resolution to the Formal Complaint stage if the student is dissatisfied with the Early Resolution response, feels unable to approach the person directly against whom the complaint is made, or believes the complaint is serious enough to require formal resolution."
FL040,V2Q005,"The University of Liverpool does offer assistance with jury service disruptions. Evidence and state that students can request deferral of jury service (usually for up to 12 months) by completing a form and submitting it to the Summoning Bureau. This process implies the University provides support for such requests. Therefore, the assumption that the University offers ""no help"" is incorrect. 

Answer: No, the University does offer help through deferral processes."
FL041,V2Q048,"The University service that provides specialist immigration advice and support to international students is **International Advice and Guidance (IAG)**. This is explicitly stated in the evidence: 
- describes IAG as offering ""professional and expert immigration advice to international students"" and advising on visa extensions and family-related immigration matters. 
- confirms IAG provides ""professional and expert immigration advice"" to international students. 
- reiterates that IAG supports students with visa-related issues, including extensions and compliance. 

No other service in the evidence is described as handling specialist immigration advice. and focus on wellbeing, English language support, or general student services, not immigration. 

Answer: International Advice and Guidance (IAG)."
FL042,V2Q081,"The University of Liverpool is committed to providing an inclusive environment under its equality policy. This is explicitly stated in Evidence, which highlights that ""ensuring equality of opportunity is a guiding principle"" and emphasizes the University's commitment to an inclusive environment for students and staff. Additionally, Evidence reinforces this by stating the University's goal to ""deliver inclusion"" as part of its equality efforts. 

Answer: The University is committed to providing an inclusive environment."
FL043,V2Q072,"The Diversity and Equality of Opportunity Policy serves as the overarching framework for the University’s approach to equality, with other policies and plans (such as the Equality Objectives Action Plan, Athena Swan Action Plan, and Race Equality Charter Action Plan) supporting or embedded within this framework. Additionally, the policy is underpinned by institutional strategies and policies where diversity and equality are integrated, as listed in Appendix D."
FL044,V2Q084,"The Undergraduate and Postgraduate Handbooks for the University of Liverpool generally advise students who have been victims of crime to seek support through the university’s Student Support and Wellbeing Service. This service can provide guidance on reporting the incident to the police, accessing counseling, and connecting with external organizations like Victim Support. However, the specific wording or steps may vary between the handbooks. For precise details, I recommend consulting the relevant sections of the handbooks or contacting the Student Support and Wellbeing Service directly, as I cannot confirm exact advice without reviewing the current handbooks."
FL045,V2Q032,"The factors considered when deciding whether conduct has the effect required for harassment are: 
1. The perception of the person (e.g., whether they regarded the conduct as violating their dignity). 
2. The other circumstances of the incident (e.g., personal circumstances, environment, or situation). 
3. Whether it is reasonable for the conduct to have that effect (an objective test, such as whether a normal person would expect the incident to be harassment)."
FL046,V2Q049,"The Undergraduate Student Route visa holder normally needs to request a new Confirmation of Acceptance for Studies (CAS) from the University at least three months before they expect to return to their studies after an interruption. This requirement is explicitly stated in, which specifies that a new CAS must be applied for and issued three months prior to resuming studies. Additionally, reinforces the need for a new CAS if studies are interrupted, though provides the specific timing detail. and also mention CAS requirements but do not specify the three-month timeframe for returning after an interruption. focuses on visa application compliance rather than the CAS requirement for returning."
FL047,V2Q071,A graduate can apply for the Graduate Route visa after being successfully awarded an eligible qualification and after receiving confirmation from the University that a report has been.
FL048,V2Q072,"The Diversity and Equality of Opportunity Policy at the University of Liverpool is likely designed to complement other equality-related policies by establishing a foundational framework for equitable access, inclusion, and fairness across the institution. It may intersect with policies focused on specific protected characteristics (e.g., gender, race, disability) by ensuring that opportunities are distributed fairly and that systemic barriers are addressed holistically. However, without access to the University’s specific policy documents or official guidance, I cannot provide a definitive or detailed explanation of how these policies interrelate. For precise information, I recommend consulting the University’s Equality, Diversity, and Inclusion (EDI) resources or contacting their EDI office directly."
FL049,V2Q002,"To raise concerns about harassment, bullying, discrimination, or victimisation, students or staff should report incidents to their line manager, Head of Department, HR Business Partner, or programme leader, or use the University’s Report and Support provision (named or anonymously). They should also challenge unlawful behaviour through appropriate reporting or complaints procedures, such as Report & Support."
FL050,V2Q063,"The updated Recognition of Prior Learning (RPL) policy implies that prior credit must be matched to **specific learning outcomes** of the programme, as general credit recognition is no longer permitted. This is explicitly stated in evidence, which clarifies that credit can only be recognized against specific learning outcomes, not broadly or generically."
FL051,V2Q042,"The evidence does not explicitly classify ""unauthorised use of University premises"" in the indicative student-conduct sanctions table. While mentions ""Unauthorised entry into another student’s room within their accommodation"" as part of non-academic misconduct, this is a specific example and does not address the broader classification of unauthorised use of premises. No other evidence directly addresses this classification."
FL052,V2Q020,"The answer is that one re-sit or re-take is normally allowed for each affected assessment if extenuating circumstances are accepted. This is explicitly stated in, which specifies that ""you will be permitted one re-sit/re-take of each of the examinations/assessments"" affected by extenuating circumstances."
FL053,V2Q074,"The evidence does not provide information about whether a retrospective extenuating circumstances claim regarding a previous resit could affect how a later resit attempt is counted. The policies outlined focus on claims related to the original attempt or the first resit, but there is no mention of retrospective claims impacting subsequent resits. 

Answer: The evidence does not address this scenario.,,,, do not provide information on retrospective claims affecting later resits."
FL054,V2Q063,"The updated Recognition of Prior Learning (RPL) policy implies that prior credit must be matched to **specific learning outcomes** of the programme, rather than general credit. This is stated in, which clarifies that ""credit can only be recognised against specific learning outcomes"" and removes references to ""general credit."" 

Answer: The policy requires prior credit to align with specific learning outcomes of the programme."
FL055,V2Q052,"A postgraduate student should contact the Wellbeing Team for ongoing support, report the incident to the Police, and report the incident to the University via the online reporting tool."
FL056,V2Q093,"The University of Liverpool's conduct framework addresses disciplinary sanctions for abusive conduct in intimate relationships as a serious breach of the student code of conduct, typically categorized under harassment or violence. The seriousness of the breach would depend on the severity and impact of the conduct, as outlined in the policy. Grounds for appeal generally include procedural errors, new evidence, or if the sanction is deemed disproportionate. However, I cannot provide exact details about specific provisions in the framework without referencing the official policy. For precise information, I recommend consulting the full student conduct policy or contacting the Student Support Services team."
FL057,V2Q024,"The Student Route visa holder who reaches Stage Three and fails to meet the agreed re-engagement conditions must be referred to the UKVI Attendance Compliance Panel. This is explicitly stated in, which specifies that such students are referred to the UKVI panel (rather than a Progression Board) and that the panel should be convened within ten working days. The student is not required to attend unless specifically invited."
FL058,V2Q008,"After a student is notified that programme-fee payments remain outstanding under the 2026–27 Payment Policy, the University will prevent them from registering for a new academic year until all outstanding debts are paid [4.7.5]. Additionally, if the debt persists one calendar month before the award of a degree, diploma, or certificate, the student will be deemed ineligible to receive the award [4.7.6]. The University may also apply proportional academic sanctions as part of its risk-based review process [4.7.7]."
FL059,V2Q043,"During a Master's dissertation or PhD writing-up period, a Student visa holder should treat this time as term time. They must not work more than 20 hours per week and should remain living in the Liverpool area during their studies. This period is considered part of their academic term, not a vacation, so full-time work or leaving the UK would violate visa conditions."
FL060,V2Q092,"The mitigating factors considered under Appendix A directly influence the severity of sanctions described in Appendix B. Specifically: 
1. If a responding student provides mitigating circumstances (as outlined in 9.7 and 3.9), the Chair or designated staff will review these factors before imposing sanctions. This review may lead to a reduced category of breach (as per 1.3), resulting in less severe sanctions. 
2. Mitigating factors can lower the breach category, which in turn determines the applicable sanctions listed in Appendix B (e.g., 1.4 specifies sanctions tied to breach categories). 

Thus, mitigating factors from Appendix A are used to adjust the breach classification in Appendix B, which directly impacts the sanctions applied."
FL061,V2Q039,"The Student Loans Company (SLC) pays a 2026–27 programme-fee loan to the University in three disbursements, as outlined in. These payments occur on specific dates with corresponding proportions of the full fee: 25% on 28 September 2026, 25% on 11 January 2027, and 50% on 5 April 2027."
FL062,V2Q005,"The University of Liverpool does offer assistance in such cases. Evidence states that if jury service interferes with studies, students may need to leave the UK and apply for a new Confirmation of Acceptance for Studies (CAS) from the University. This implies the University provides support to manage the disruption caused by jury service. Therefore, the assumption that the University offers ""no help"" is incorrect."
FL063,V2Q043,"During a Master's dissertation or PhD writing-up period, a Student visa holder should treat this time as part of their studies, as it is an integral component of their degree. Here’s how to approach work and residence:

1. **Work Permissions**: 
 - You may work **part-time (up to 20 hours/week)** during term time and **full-time during breaks** (including the writing-up period, if it aligns with a university-recognized break). 
 - Ensure any work does not interfere with your academic responsibilities. 

2. **Residence Status**: 
 - You must remain registered as a full-time student with your university. If you are not enrolled in formal classes during the writing-up period, confirm with your university that you are still considered a full-time student (some institutions may require specific registration for this phase). 
 - Avoid prolonged periods of non-enrollment, as this could risk your visa status. 

3. **Key Considerations**: 
 - If you are not attending classes but are actively working on your thesis, ensure your university confirms your student status. 
 - Do not exceed the permitted working hours unless during a recognized break. 

If unsure about specific university requirements or visa conditions, consult your university’s international office or the UK Visas and Immigration (UKVI) guidelines."
FL064,V2Q029,"The University of Liverpool undertakes an annual risk-based review of all outstanding programme fee debts, and the results of this review inform its decision-making process before applying academic sanctions."
FL065,V2Q020,"The answer is that normally one re-sit or re-take is allowed for each affected assessment. This is specified in evidence, which states: ""You will be permitted one re-sit/re-take of each of the examinations/assessments judged by the Extenuating Circumstances Committee to have been affected by extenuating circumstances."""
FL066,V2Q029,"The University undertakes an annual risk-based review of all outstanding programme fee debts, and the results of this review inform its decision-making before applying academic sanctions."
FL067,V2Q001,The Student Route visa holder must provide evidence of their registration at the other UK HEI to the University of Liverpool within 10 working days of completing their registration.
FL068,V2Q002,"Students or staff should contact the **Student Support and Wellbeing team** or the **Equality and Diversity office** at the University of Liverpool to raise concerns about harassment, bullying, discrimination, or victimisation. They can also approach a trusted staff member, union representative, or use the university’s online reporting system (if available). If unsure, they may seek guidance from a designated staff member. Always ensure the process aligns with the university’s official policies, which can be found on their website."
FL069,V2Q056,"The conduct policy requires reliable identification before treating a substance as a Class A controlled drug to ensure accurate classification, as the policy explicitly states that possession, supply, or production of a substance is only treated as a Class A controlled drug if it is ""identified as that controlled drug by the student or a suitably qualified individual or organisation"". This requirement prevents misclassification and ensures that sanctions are applied appropriately based on verified evidence of the substance's nature."
FL070,V2Q073,"The student does not have an automatic right of appeal against an Informal Resolution outcome. Evidence explicitly states, ""There is no right of appeal against actions taken under Informal Resolution"". Similarly, evidence reinforces this by confirming, ""There is no right of appeal against... decisions taken under Local Disciplinary Action"", which includes outcomes from Informal Resolution. While a student may request a review via Local Disciplinary Action procedures, this is not an automatic right but a discretionary process. The assumption of an ""automatic right"" is incorrect."
FL071,V2Q052,"If a postgraduate student becomes a victim of crime and requires ongoing support, they should contact the Wellbeing Team in the Alsop Building. This is explicitly stated in the Postgraduate Handbook as the recommended step for addressing ongoing support needs after a crime. Additional actions, such as reporting to the police or using the online reporting tool, are also mentioned but are not the primary focus for ongoing support."
FL072,V2Q007,"A student can be escalated to Stage Two under the Attendance Policy if their absence extends to eight consecutive unauthorised missed contact points. This threshold is explicitly stated in evidence, which outlines the escalation criteria. Evidence further clarifies that Stage One is triggered by five consecutive missed contact points, indicating that Stage Two requires a higher number of absences."
FL073,V2Q043,"During a Master's dissertation or PhD writing-up period, a Student visa holder should treat this time as term time. This means they must not work more than 20 hours per week and should remain living in the Liverpool area."
FL074,V2Q052,"The evidence states that if a student is recommended to seek support, advice, or guidance from internal services or external agencies after a breach, they should do so. Failure to seek such support will not result in disciplinary action, though it may not be used as a mitigating factor in future cases. This directly addresses the need for ongoing support after a crime. 

ANSWER: A postgraduate student should seek support, advice, or guidance from internal services or external agencies as recommended."
FL075,V2Q003,"A student should consult their Academic Adviser or other support services (e.g., Wellbeing Advice, Disability Advice) to discuss their personal circumstances and obtain advice before submitting a claim. This ensures they address the situation appropriately and adhere to academic integrity standards."
FL076,V2Q042,"The evidence does not explicitly classify ""unauthorised use of University premises"" in the indicative student-conduct sanctions table. However, evidence mentions ""Unauthorised entry into another student’s room within their accommodation"" as a breach, which is a specific instance of unauthorised use of premises. No general classification for unauthorised use of University premises (beyond this specific case) is provided in the evidence. 

ANSWER: The evidence does not provide a general classification for unauthorised use of University premises in the sanctions table. It only specifies ""Unauthorised entry into another student’s room"" as a breach."
FL077,V2Q093,"The conduct framework indicates that abusive conduct in an intimate relationship is considered a serious breach, potentially classified as a Category 1 breach under, which may involve aggravating factors and could lead to referral to the University Disciplinary Panel. Regarding grounds for appeal, states that a student may appeal if the sanction is deemed disproportionate to the breach, requiring the student to demonstrate a valid reason for the lack of information at the time of the decision. Sensitivity of information is not a valid reason for appeal."
FL078,V2Q006,"The expected participation from students involved in a student-conduct investigation includes fully engaging with the procedure, which entails attending investigation meetings, agreeing to meeting notes or statements, and participating in University Disciplinary Panels when required. Both reporting and responding students, as well as witnesses, are expected to engage fully in this process. Failure to participate may result in the investigation being closed."
FL079,V2Q091,"The evidence provided does not mention Appendix B at all. All references are to Appendix A, which outlines procedures for student conduct cases, including panels, investigations, and accompaniment rights. There is no information in the evidence about the role of Appendix B. [Evidence not present]"
FL080,V2Q038,"The Postgraduate Handbook advises students to use the correct academic regulations and codes for their cohort and degree because these regulations and codes are updated over time and are specifically tailored to the student's program and level of study. This ensures that students follow the most current and relevant guidelines for their academic progression, which is essential for maintaining standards and eligibility for their award."
FL081,V2Q012,"The statement is incorrect. Evidence explicitly allows postgraduate awards to include ""a combination of level 7 and up to 10 credits of modules at level 6"". Similarly, evidence and confirm that level 6 credits (up to 30 or 20 credits, respectively) can be part of a postgraduate award under specific conditions. Therefore, level 6 credit is permitted in some cases, contradicting the claim that ""no level 6 credit is permitted""."
FL082,V2Q100,"A sponsored student typically needs to provide proof of their sponsorship agreement or letter from their sponsor, which should explicitly cover accommodation fees. This may include documentation such as a signed sponsorship contract or a formal letter confirming financial responsibility. 

If a sponsored student still faces financial difficulties after meeting these requirements, the University of Liverpool’s **Student Support and Advocacy Service (SSAS)** or **Financial Aid Office** may offer assistance. Support could include guidance on budgeting, access to emergency funds, or advice on available bursaries/grants. However, specific support options depend on individual circumstances and university policies. 

For precise details, students should contact the SSAS or Financial Aid Office directly, as requirements and support services can vary."
FL083,V2Q017,"The sanctions that may follow a Category 2 student-conduct breach include: 
- Appropriate Category 1 sanctions 
- Final written warning 
- Mandatory attendance at a workshop or course (at the student’s expense) 
- Restorative action (e.g., reflective statement or project) 
- Restricted ability to contact the complainant (if applicable) 
- Requirement not to represent the University in a paid or unpaid capacity for a specified period 

These sanctions are outlined in Evidence, which specifies the possible disciplinary actions for Category 2 breaches."
FL084,V2Q088,"The monitoring expectations differ as follows: 

1. **Postgraduate students working on a dissertation** are required to maintain regular contact with their allocated supervisor (at least once per semester) and must be available during normal office hours. If no contact is received within a rolling one-month period, they are escalated to Stage One of the intervention process. 

2. **Student Route students studying abroad** are monitored by the Global Opportunities Team for UKVI compliance risks, as their study abroad period is an integral part of their programme. Additionally, they must confirm their arrival abroad and ongoing attendance at specific checkpoints (e.g., beginning of semesters). Failure to confirm these details results in escalation to Stage One of the intervention process. 

The key differences lie in the monitoring body (Global Opportunities Team vs. Academic Advisor/supervisor) and the specific requirements (confirmation of arrival/attendance vs. regular supervisor contact)."
FL085,V2Q039,"The Student Loans Company (SLC) pays a 2026–27 programme-fee loan to the University in three disbursements based on loan liability points. These payments occur on specific dates: 25% of the full year’s fee is paid on 28 September 2026, another 25% on 11 January 2027, and the final 50% on 5 April 2027."
FL086,V2Q071,"A graduate can apply for the Graduate Route visa after being awarded an eligible qualification and after receiving confirmation from the University that a report has been processed. The guide specifies that students must apply for a new ATAS certificate and visa when eligible, which occurs post-qualification and upon University confirmation."
FL087,V2Q085,"The evidence provided only includes information from the University of Liverpool Postgraduate Handbook (pages 23-24) and does not reference any undergraduate award requirements. Therefore, there is no basis in the given evidence to compare or contrast undergraduate and postgraduate award requirements. 

Answer: The evidence does not contain information about undergraduate award requirements, so a comparison cannot be made based on the provided materials."
FL088,V2Q061,"The roles are divided as follows: the Academic Integrity Office (AIO) investigates academic-integrity offences, and the Academic Integrity Committee (AIC) makes recommendations to the relevant Board of Examiners based on the AIO's findings."
FL089,V2Q005,"The assumption in the question is false. Evidence states that excusal requests for jury service should be sent directly by the student to the University, implying the University does offer assistance with court summons related to jury service. Additionally, Evidence mentions that the University provides a letter from the Director of Life to assist with deferral requests, which could include jury service. Therefore, the University does offer help, contrary to the claim."
FL090,V2Q032,"The factors considered include whether the conduct is unwanted, related to a protected characteristic (e.g., sex, race, religion), and whether it violates the person’s dignity or creates an intimidating, hostile, degrading, humiliating, or offensive environment."
