question_id,question,old_expected_documents,rank,candidate_document,candidate_chunk_id,score,candidate_text
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,1,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c1,0.7233368754386902,"The University has three stages for Their authority under local disciplinary In certain cases, the Student Conduct The Student Conduct Policy sets out managing alleged student misconduct: action enables them to issue sanctions Manager (or nominee) may determine the right of appeal by students against 1. Informal Resolution which include a formal written warning that the misconduct is suitable to be dealt decisions taken under University or a final written warning for a repeated with via Chair’s Action. In cases where the Disciplinary Procedures. 2. Local Disciplinary Action breach, a fine not exceeding £200, a student admits the misconduct and the 3. University Disciplinary Action – The full Student Conduct Policy can be requirement in the event of non-accidental facts of the matter are no"
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,2,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p11_c1,0.7036373019218445,"Student Conduct, Complaints and Compliance F Vexatiously alleging the commission of a disciplinary act or Category 3 providing vexatious fraudulent or dishonest information during a disciplinary investigation G Impersonation of another member of the University or Category 2 or 3 intentional misrepresentation of status or identity h Bribery or attempted bribery including but not limited to Category 3 offering or giving money, gifts or any other advantage to any student or employee of the University, honorary staff, recognised teacher, or any visitor to the University with the intention of inducing that person to perform his/her role improperly or of rewarding that person for performing his/her role improperly. It is recommended that where breaches regarding fraud are brought, the usual cate"
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,3,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p40_c6,0.6985751986503601,"ance. Should the nature of the alleged misconduct those in section 1.4 (Category 1 sanctions) to investigations, charges and convictions be such that it is deemed too serious to be and section 1.6 (Category 2 sanctions) of under any country’s laws. There is no right of appeal against dealt with under Local Disciplinary Action Appendix B – Student Conduct Breaches sanctions given within informal resolution, (e.g. allegations of serious misconduct, and Indicative Sanctions. Further details regarding Police and although a student could, if they wished the or persistent incidents of misconduct criminal investigations can be found in matter to be considered further, request You should be aware that the University that have originally been dealt with via section 13 of the Section 13 of the Stude"
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,4,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p40_c1,0.6845254302024841,"The University has three stages for Their authority under local disciplinary In certain cases, the Student Conduct The full Student Conduct Policy can be managing alleged student misconduct: action enables them to issue sanctions Manager (or nominee) may determine found at Conduct and discipline - Student 1. Informal Resolution which include a formal written warning that the misconduct is suitable to be dealt Administration - University of Liverpool. or a final written warning for a repeated with via Chair’s Action. In cases where the 2. Local Disciplinary Action Information on how to report concerns breach, a fine not exceeding £200, a student admits the misconduct and the 3. University Disciplinary Action – about another student’s conduct can be requirement in the event of non-accidental"
Q019,What is academic misconduct according to the University's rules?,Academic misconduct policy,5,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p39_c1,0.6834861636161804,"The authority of the Board of Discipline More precise definitions and indicative Bribery or attempted bribery including Intentional or reckless damage or Panel allows them to issue any of the above sanctions for misconduct breaches are but not limited to offering or giving defacement to University property or the sanctions that are contained within Chairs detailed in Appendix B – Student Conduct money, gifts or any other advantage to property of students, staff or visitors Action in addition to; a mark of zero for the Breaches and Indicative Sanctions: any student or employee of the whilst on University premises or engaged module in which the misconduct occurred Any breach of University Ordinances, University, honorary staff, recognised in University business. with a right to resit with a"
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,1,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c10,0.5553058385848999,"(including content. Fabrication of Data – occurs when a the inadequate referencing of content student creates and presents an extensive generated by Artificial Intelligence amount or significant piece of data in software when use is permitted). order to conceal a lack of legitimate data, Plagiarism occurs when a student or wholly fabricates a set of data in the misrepresents the work or ideas of any absence of legitimate data. other person (including another student) or of any institution, as his/her own work. Your University – Handbook for Undergraduate Students66 / /67"
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,2,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c1,0.5264265537261963,"Where, prior to a resit period, students Students who embrace academic integrity Collusion Acceptable proof-reading practice would consider that their first (or second) attempt understand that they must produce their Collusion occurs when, unless with include the identification of typographical, at an assessment was affected by PECs own work, acknowledging explicitly any official approval (e.g. in the case of grammatical or spelling errors, formatting and that there were valid reasons why material that has been included from other group projects), two or more students or citation errors or inconsistencies, they could not have submitted a PEC claim sources or legitimate collaboration, and consciously collaborate in the preparation repetition or duplication of text, ambiguous before the Boar"
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,3,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p11_c1,0.5160949230194092,"Student Conduct, Complaints and Compliance F Vexatiously alleging the commission of a disciplinary act or Category 3 providing vexatious fraudulent or dishonest information during a disciplinary investigation G Impersonation of another member of the University or Category 2 or 3 intentional misrepresentation of status or identity h Bribery or attempted bribery including but not limited to Category 3 offering or giving money, gifts or any other advantage to any student or employee of the University, honorary staff, recognised teacher, or any visitor to the University with the intention of inducing that person to perform his/her role improperly or of rewarding that person for performing his/her role improperly. It is recommended that where breaches regarding fraud are brought, the usual cate"
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,4,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p31_c1,0.5136282444000244,"Where, prior to a resit period, students Students who embrace academic integrity Plagiarism occurs when a student Acceptable proof-reading practice would consider that their first (or second) attempt understand that they must produce their misrepresents the work or ideas of any include the identification of typographical, at an assessment was affected by PECs own work, acknowledging explicitly any other person (including another student) or grammatical or spelling errors, formatting and that there were valid reasons why material that has been included from other of any institution, as his/her own work. or citation errors or inconsistencies, they could not have submitted a PEC claim sources or legitimate collaboration, and repetition or duplication of text, ambiguous before the Board of Exa"
Q020,What types of behaviour can be treated as plagiarism or collusion?,Academic misconduct policy,5,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c3,0.509713888168335,"sanction due to the presence of aggravating factors. An aggravating factor makes a breach more serious or the responding student more culpable. These factors could include, but are not limited to the following: • Misconduct that is motivated by, or demonstrated discrimination towards others, in particular when related to protected characteristics under the Equality Act 2010 • Misconduct which directly or indirectly cause a physical injury. • Misconduct which involves the use of violence/force/threats/intimidation and/or use of a weapon • A repeated breach against the same individual(s) • Misconduct for which a student has received a previous warning or sanction. • Misconduct where there is an abuse of power and/or position of trust, for example breaches committed by a reporting party’s me"
Q021,What steps should a student follow to submit an academic appeal?,Appeals policy,1,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p25_c4,0.7133336067199707,"will remain in force until the outcome of the appeal. This means that any registration or immigration implications for the student will still apply during the appeal process. 18.3 The written appeal, which should be submitted electronically, must include the following: • The student’s name and ID number. • The date of the hearing of the University Disciplinary Panel. • The date on which the student received the outcome letter. • A clear statement of the grounds on which the student is making the appeal (see section 19 below), and all supporting evidence must be APPENDIX A – STUDENT CONDUCT POLICY PROCEDURES"
Q021,What steps should a student follow to submit an academic appeal?,Appeals policy,2,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p8_c1,0.6573858261108398,"Student Conduct, Complaints and Compliance • Action taken by an academic Head of Department, School or Institute to be submitted to the relevant Executive Pro-Vice-Chancellor, who may nominate another academic Head to act on their behalf; • Action taken by a Head or Director of Service to be submitted to the Director of Student Experience and Enhancement, who may nominate another person who has had no previous dealing with the case, to act on their behalf. 4.3 The appeal will be considered by the designated person as listed in 4.2 above and they will determine one of the following: • That the student’s appeal is eligible for consideration and an alternative outcome should be made in terms of the finding of the alleged breach and/or the sanction imposed; • That the student’s appeal is not j"
Q021,What steps should a student follow to submit an academic appeal?,Appeals policy,3,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p42_c1,0.6546087265014648,"Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion"
Q021,What steps should a student follow to submit an academic appeal?,Appeals policy,4,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p38_c1,0.6546087265014648,"Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion"
Q021,What steps should a student follow to submit an academic appeal?,Appeals policy,5,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p27_c3,0.6464741230010986,"rounds of appeal have been met. 21.2 If the grounds of appeal have not been met, the student will be issued with a Completion of Procedures letter explaining why the grounds have not been met so that they can refer their case to the Office of the Independent Adjudicator for Higher Education if they so wish. 21.3 If the grounds for appeal have been met, the appeal will be referred to the Disciplinary Appeal Panel and the procedures set out below will be followed: 21.4 Responding and reporting students will be notified that an appeal has been received and the basis of the appeal. 21.5 The Adviser to the Disciplinary Appeal Panel will schedule a hearing and notify all relevant parties of the date, giving a minimum of 10 working days’ notice. APPENDIX A – STUDENT CONDUCT POLICY PROCEDURES"
Q022,What grounds are normally accepted for an academic appeal?,Appeals policy,1,University of Liverpool Code of Practice on Assessment and Appendices 2025-26 — Summary of Changes,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p4_c5",0.6413290500640869,"grounds for an appeal against the decision on an academic integrity claim (and bringing this in line with changes to the Academic Integrity Policy), and the grounds for appeal regarding assessments, marks, and awards. These are not policy or process changes, just a diﬀerent presentaƟon and format."
Q022,What grounds are normally accepted for an academic appeal?,Appeals policy,2,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p37_c10,0.6205539703369141,"hysician. At the end An assessment appeal is a challenge programmes in the Faculty of Health of the formal investigation, the Investigating Where a student submits an appeal, they to, or a request for reconsideration (on and Life Sciences with professional/ Officer may conclude: will not be permitted to attend graduation specified grounds) of a decision made by statutory body regulation that necessitates (i) That there is no case to be taken the University on student assessments and or graduate until either the appeal is Fitness to Practise processes or on a forward, in which case the student will be awards. concluded or withdrawn. informed that no further action will be taken Your University – Handbook for Postgraduate Students70 / /71"
Q022,What grounds are normally accepted for an academic appeal?,Appeals policy,3,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p41_c10,0.6139723062515259,"e governed by these processes. forward, in which case the student will be Administration - University of Liverpool. Where a student submits an appeal, they informed that no further action will be taken An assessment appeal is a challenge will not be permitted to attend graduation to, or a request for reconsideration (on or graduate until either the appeal is specified grounds) of a decision made concluded or withdrawn. by the University on student assessments and awards. Your University – Handbook for Undergraduate Students78 / /79"
Q022,What grounds are normally accepted for an academic appeal?,Appeals policy,4,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p42_c1,0.6050887107849121,"Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion"
Q022,What grounds are normally accepted for an academic appeal?,Appeals policy,5,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p38_c1,0.6050887107849121,"Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion"
Q027,I used a few sentences from a website without clearly saying where they came from. Which rules apply to this?,Academic misconduct policy,1,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c7,0.3147098124027252,"plies to the standards by students, including, for example, written occurs when a student submits, as their create content in any form (including but by which the academic community work, diagrams, designs, charts, musical own work, assessment tasks (or parts not limited to text, graphs, data, code, operates. It represents the values of compositions, computer programmes thereof) that have been intentionally images, audio and video) automatically honesty, fairness and respect for others. and pictures. procured from third parties. The definition based on the prompt of the user. includes the practice of requesting another While this encompasses the expectation Poor academic practice party to prepare all or part of a course Dishonest Use of Data that you will not cheat in assessments Poor acad"
Q027,I used a few sentences from a website without clearly saying where they came from. Which rules apply to this?,Academic misconduct policy,2,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c10,0.3132464587688446,"(including content. Fabrication of Data – occurs when a the inadequate referencing of content student creates and presents an extensive generated by Artificial Intelligence amount or significant piece of data in software when use is permitted). order to conceal a lack of legitimate data, Plagiarism occurs when a student or wholly fabricates a set of data in the misrepresents the work or ideas of any absence of legitimate data. other person (including another student) or of any institution, as his/her own work. Your University – Handbook for Undergraduate Students66 / /67"
Q027,I used a few sentences from a website without clearly saying where they came from. Which rules apply to this?,Academic misconduct policy,3,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p36_c3,0.3072461187839508,"the verbatim (word for word) copying of new materials. This rule also applies to status classification. Instalment payments facility to request secure, verified and another’s work without appropriate and those resitting a year of study must be received by the advised instalment digitally signed documents such as correctly presented acknowledgement There are four academic integrity due date. transcripts and official student status and citation of the source; categories. Category 1 is distinct from confirmations. the close paraphrasing of another’s work Categories 2-4. Category 1 is determined This information can be viewed at by simply changing a few words, altering by the academic judgement of the marker/ www.liverpool.ac.uk/feespayment After 2 February 2026 (or after 2 June the order of p"
Q027,I used a few sentences from a website without clearly saying where they came from. Which rules apply to this?,Academic misconduct policy,4,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p35_c5,0.3027074337005615,"to these conventions can Further information regarding Personal from collusion in that the originator of the by Artificial Intelligence occurs when a result in poor academic practice or, if there Exceptional Circumstances (PECs), copied work is not aware of or party to the student presents, assessment tasks (or is a clear intention to deceive examiners including links to student guidance, the full copying. Copying of work from published parts thereof) that have been generated and assessors, to unfair and/or dishonest Additional Considerations Policy, and the sources would be dealt with as plagiarism. or completed by Generative Artificial academic practice. official application portal, can be found Intelligence (GAI) software contrary to the on the University's website here. The following d"
Q027,I used a few sentences from a website without clearly saying where they came from. Which rules apply to this?,Academic misconduct policy,5,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p31_c1,0.29893994331359863,"Where, prior to a resit period, students Students who embrace academic integrity Plagiarism occurs when a student Acceptable proof-reading practice would consider that their first (or second) attempt understand that they must produce their misrepresents the work or ideas of any include the identification of typographical, at an assessment was affected by PECs own work, acknowledging explicitly any other person (including another student) or grammatical or spelling errors, formatting and that there were valid reasons why material that has been included from other of any institution, as his/her own work. or citation errors or inconsistencies, they could not have submitted a PEC claim sources or legitimate collaboration, and repetition or duplication of text, ambiguous before the Board of Exa"
Q028,I think my marker was unfair and I do not agree with the grade. Can I challenge it?,Appeals policy,1,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p27_c8,0.5329510569572449,"t you should submission and given clear guidance as previously. Should the student selection of pieces of work from an seek advice from your Department or to the level of supervision you could expect. subsequently wish to use the credit from assessment task by an individual to verify School/Institute. such a module towards an award they – or otherwise – the level and consistency must pass the re-taken module at the of the marks allocated by the marker(s), first attempt and the marks will be particularly at the borderlines. capped at 50% for the purposes of calculating the overall average mark Moderation of the marking of the internal and determining classification, unless examiner(s) must be undertaken in there are approved extenuating particular circumstances and according to circumstance"
Q028,I think my marker was unfair and I do not agree with the grade. Can I challenge it?,Appeals policy,2,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p15_c6,0.5115261077880859,"ill advise on what work must be completed in order that the final mark can be awarded. Where an assessment or assessments have been missed by a student which total no more than 20% of a module’s mark and the assessment concerned is not the final assessment for the module, it is open to the examiner to excuse the student from the assessment without the involvement of the Extenuating Circumstances Committee provided that it is possible for the student to demonstrate the achievement of the learning outcomes of the module through the"
Q028,I think my marker was unfair and I do not agree with the grade. Can I challenge it?,Appeals policy,3,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p14_c4,0.4940073788166046,"ommittee will recommend that you be offered the option of accepting the appropriate award. Due account will be taken of the extenuating circumstances in determining whether the award should be at pass, merit or distinction level. Alternatively, you may be offered the option of being re-assessed in the affected assessments with the possibility of improving the mark (see section 7 below). b) Award criteria has NOT been met If you have failed any of the assessments such that you have not met the criteria for the award, the Extenuating Circumstances Committee will recommend that you be allowed to be reassessed in the failed assessments as ‘first attempts’ (see section 7 below). In exceptional circumstances, the Extenuating Circumstances Committee may also recommend that an award be made notwit"
Q028,I think my marker was unfair and I do not agree with the grade. Can I challenge it?,Appeals policy,4,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p15_c2,0.48717156052589417,"t the end of the final year and will make an appropriate recommendation to the Board of Examiners as to the classification of degree you should be awarded. 6. ASSESSMENT MARKS A mark can only be increased if you re-sit/re-take the examination or assessment and achieve a better performance; however, your performance in a resit may result in a lower mark being achieved and recorded as your final mark. If your claim is successful but you choose not to be re-assessed, the mark will not be altered, but the Extenuating Circumstances Committee will consider the impact of the affected mark on your overall results at the end of the final year and will make an appropriate recommendation to the Board of Examiners on the classification of your degree. If you have had extenuating circumstances accepted"
Q028,I think my marker was unfair and I do not agree with the grade. Can I challenge it?,Appeals policy,5,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p25_c5,0.4671936631202698,"the requirement for the If a student achieves a mark in the a Merit grade, candidates must achieve all the failed assessments, or they may higher award) should be considered to compensation range of 40-49% in the marks of at least 60% in modules elect which marks they wish to accept the highest marks that account for the reassessment of a failed assessment accounting for at least half of the credit of as a compensated pass, and which required credits. For the purposes of component, the mark will automatically the overall award and an overall average assessments they wish to resit at identifying modules accounting for at least be deemed a compensated pass, mark of at least 60%. To be awarded the next reassessment opportunity. half of the credit of the overall award for provided this will n"
Q035,Could I face University disciplinary action for threatening or seriously disruptive behaviour?,Student conduct policy,1,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p12_c1,0.6763249635696411,"Student Conduct, Complaints and Compliance J Behaviour which has caused serious damage, or could Category 2 or 3 have caused serious damage, to the University’s relationships with the local community or other bodies or organisations *The University takes a case-by-case approach, but in cases of lawful, peaceful protest it would not normally take disciplinary action against students."
Q035,Could I face University disciplinary action for threatening or seriously disruptive behaviour?,Student conduct policy,2,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c2,0.6561620235443115,"d the 3. University Disciplinary Action – The full Student Conduct Policy can be requirement in the event of non-accidental facts of the matter are not disputed, the Full Hearing found at Conduct and discipline - Student or wilful damage to property, that the student may be given the option for the 3a. University Disciplinary Action – Administration - University of Liverpool. damage by made good up to a total value matter to be dealt with via Chair’s Action. Chair’s Action. of £1500, withdrawal of access to specific Students who do not admit an allegation Information on how to report concerns Informal resolution University services or facilities for a period or where the allegation is deemed more about another student’s conduct can be not exceeding one month, a requirement serious (for exa"
Q035,Could I face University disciplinary action for threatening or seriously disruptive behaviour?,Student conduct policy,3,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c5,0.6542881727218628,"n under Local Disciplinary be made where it is in the best interests of to act under Informal Resolution action, Action. Whilst a registered student at the University the students to do so. such as within Halls of Residence the Hall you are required to declare to the University Wardens/Managers and within Schools University Disciplinary Possible sanctions that can be issued as a if you are subject to a police investigation the Dean and Head of Operations, can Procedures result of Chair’s Action will be contained to or if you are arrested, convicted, issue a written warning and guidance. Should the nature of the alleged misconduct those in section 1.4 (Category 1 sanctions) cautioned, reprimanded or charged with There is no right of appeal against be such that it is deemed too serious to be"
Q035,Could I face University disciplinary action for threatening or seriously disruptive behaviour?,Student conduct policy,4,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p40_c7,0.6475485563278198,"considered further, request You should be aware that the University that have originally been dealt with via section 13 of the Section 13 of the Student that the matter is reviewed using the Disciplinary Panel has very significant Local Disciplinary Action), the case will Conduct Policy. Procedures for Local Disciplinary Action. powers to deal with cases of misconduct. be considered and investigated by the For example, if it is satisfied that a breach Students should declare any Police of the Student Conduct Policy has occurred, investigation, arrest or conviction as Local Disciplinary Action University and students will have the opportunity of contribute to the case and it may impose a fine or other appropriate outlined above by completing a Criminal Local Disciplinary Action is generally"
Q035,Could I face University disciplinary action for threatening or seriously disruptive behaviour?,Student conduct policy,5,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p36_c1,0.6429093480110168,"The University has three stages for Their authority under local disciplinary In certain cases, the Student Conduct The Student Conduct Policy sets out managing alleged student misconduct: action enables them to issue sanctions Manager (or nominee) may determine the right of appeal by students against 1. Informal Resolution which include a formal written warning that the misconduct is suitable to be dealt decisions taken under University or a final written warning for a repeated with via Chair’s Action. In cases where the Disciplinary Procedures. 2. Local Disciplinary Action breach, a fine not exceeding £200, a student admits the misconduct and the 3. University Disciplinary Action – The full Student Conduct Policy can be requirement in the event of non-accidental facts of the matter are no"
