question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,correction_applied,quality_passed,correction_reasons,retrieval_stage,rewritten_query,rewrite_applied,retrieved_chunk_ids,retrieved_documents,retrieved_pages,notes
V2Q017,What sanctions may follow a Category 2 student-conduct breach?,procedural,medium,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p3_c1,1,UOL_student_conduct2.pdf_p2_c1,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.016129032258064516,False,False,False,0.0,0.0,False,0.0,0.0387083999812603,False,True,,initial_hybrid,,False,UOL_student_conduct2.pdf_p2_c1 | UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct1.pdf_p4_c4 | UOL_student_conduct2.pdf_p3_c4 | UOL_student_conduct1.pdf_p15_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A,2 | 2 | 4 | 3 | 15,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q018,Where should a taught student submit a formal complaint about an academic matter if informal resolution is not suitable?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1",Student Complaints Policy and Procedure,0.01639344262295082,False,True,True,0.2,1.0,True,0.5,0.04324960010126233,False,True,,initial_hybrid,,False,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p14_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p16_c3 | UOL_student_conduct1.pdf_p3_c3",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Conduct Procedures — Appendix A,12 | 12 | 14 | 16 | 3,Write the question using wording different from the source while preserving the same meaning.
V2Q019,A student needs both an available campus computer and specialist help finding and referencing academic sources. Which University services should they use?,reasoning,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p16_c8,1,UOL_undergraduate_handbook.pdf_p16_c5,University of Liverpool Undergraduate Handbook,0.015512265512265512,False,False,False,0.0,0.0,False,0.0,0.05214809998869896,False,True,,initial_hybrid,,False,UOL_undergraduate_handbook.pdf_p16_c5 | UOL_postgraduate_handbook.pdf_p16_c5 | UOL_undergraduate_handbook.pdf_p19_c3 | UOL_postgraduate_handbook.pdf_p16_c7 | UOL_undergraduate_handbook.pdf_p16_c7,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,16 | 16 | 19 | 16 | 16,Require interpretation of the evidence rather than simple keyword copying.
V2Q020,"If accepted extenuating circumstances lead to a permitted reassessment, how many re-sits or re-takes are normally allowed for each affected assessment?",paraphrased,medium,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p15_c3,1,UOL_extenuating_circumstances_policy.pdf_p15_c4,University of Liverpool Extenuating Circumstances Policy,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.04373429995030165,False,True,,initial_hybrid,,False,UOL_extenuating_circumstances_policy.pdf_p15_c4 | UOL_extenuating_circumstances_policy.pdf_p15_c3 | UOL_extenuating_circumstances_policy.pdf_p14_c5 | UOL_extenuating_circumstances_policy.pdf_p3_c4 | UOL_extenuating_circumstances_policy.pdf_p15_c5,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,15 | 15 | 14 | 3 | 15,Write the question using wording different from the source while preserving the same meaning.
V2Q021,What can the University do to protect its Student sponsor licence if a Student Route student's circumstances make continued sponsorship inappropriate?,factual,easy,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p13_c6,1,UOL_UKVI_complience.pdf_p9_c2,Policy on UKVI Compliance — Student Route,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.04446100001223385,False,True,,initial_hybrid,,False,UOL_UKVI_complience.pdf_p9_c2 | UOL_UKVI_complience.pdf_p14_c2 | UOL_UKVI_complience.pdf_p5_c4 | UOL_UKVI_complience.pdf_p13_c2 | UOL_UKVI_complience.pdf_p3_c1,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,9 | 14 | 5 | 13 | 3,Write a direct factual question answerable from the gold evidence.
V2Q022,What protections and responsibilities apply to a student who makes a complaint in good faith?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2",Student Complaints Policy and Procedure,0.016133229247983348,True,True,True,0.2,1.0,True,1.0,0.05263229995034635,False,True,,initial_hybrid,,False,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p6_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p8_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p11_c2",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,9 | 6 | 8 | 12 | 11,Write the question using wording different from the source while preserving the same meaning.
V2Q023,A complaint reviewer must always meet or correspond with the student throughout the review. Is that correct?,adversarial_false_premise,hard,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2",Student Complaints Policy and Procedure,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.04611870017834008,False,True,,initial_hybrid,,False,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p15_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p16_c2",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,17 | 17 | 15 | 12 | 16,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q024,What happens to a Student Route visa holder who reaches Stage Three and then fails to meet the agreed re-engagement conditions?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c4","Student Attendance Policy — Revised July 2025, Version 1.3",0.016001024065540194,False,True,True,0.2,1.0,True,0.5,0.04464819980785251,False,True,,initial_hybrid,,False,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c4 | UOL_UKVI_complience.pdf_p10_c3 | UOL_UKVI_complience.pdf_p8_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route",7 | 9 | 9 | 10 | 8,Write a direct factual question answerable from the gold evidence.
V2Q025,What basic security precautions does the Undergraduate Handbook recommend for personal property and accommodation?,factual,easy,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p13_c5,1,UOL_undergraduate_handbook.pdf_p13_c9,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.05363209987990558,False,True,,initial_hybrid,,False,UOL_undergraduate_handbook.pdf_p13_c9 | UOL_postgraduate_handbook.pdf_p13_c1 | UOL_undergraduate_handbook.pdf_p13_c1 | UOL_postgraduate_handbook.pdf_p13_c9 | UOL_undergraduate_handbook.pdf_p13_c8,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,13 | 13 | 13 | 13 | 13,Write a direct factual question answerable from the gold evidence.
V2Q026,"According to the Postgraduate Handbook, how should students protect belongings and report a crime?",paraphrased,medium,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p13_c6,1,UOL_undergraduate_handbook.pdf_p14_c1,University of Liverpool Undergraduate Handbook,0.014109697933227345,False,False,False,0.0,0.0,False,0.0,0.048536499962210655,False,True,,initial_hybrid,,False,UOL_undergraduate_handbook.pdf_p14_c1 | UOL_postgraduate_handbook.pdf_p14_c1 | UOL_postgraduate_handbook.pdf_p8_c10 | UOL_postgraduate_handbook.pdf_p13_c9 | UOL_postgraduate_handbook.pdf_p36_c9,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,14 | 14 | 8 | 13 | 36,Write the question using wording different from the source while preserving the same meaning.
V2Q027,What is the purpose of the Stage Two attendance meeting?,paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2","Student Attendance Policy — Revised July 2025, Version 1.3",0.01626123744050767,True,True,True,0.2,1.0,True,1.0,0.04292510007508099,False,True,,initial_hybrid,,False,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3",7 | 7 | 7 | 6 | 6,Write the question using wording different from the source while preserving the same meaning.
