question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,retrieved_chunk_ids,retrieved_documents,retrieved_pages,dense_ranks,bm25_ranks,hybrid_scores,notes
V2Q011,Appeal papers for a University disciplinary appeal can be provided on the day of the hearing. Is that correct?,adversarial_false_premise,hard,Student Conduct Procedures — Appendix A,UOL_student_conduct1.pdf_p28_c1,1,UOL_student_conduct1.pdf_p25_c1,Student Conduct Procedures — Appendix A,0.01639344262295082,False,False,True,0.2,1.0,True,0.2,0.03332630009390414,UOL_student_conduct1.pdf_p25_c1 | UOL_student_conduct1.pdf_p25_c4 | UOL_student_conduct1.pdf_p2_c4 | UOL_student_conduct1.pdf_p27_c3 | UOL_student_conduct1.pdf_p28_c1,Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A | Student Conduct Procedures — Appendix A,25 | 25 | 2 | 27 | 28,1 | 2 | 3 | 4 | 8,1 | 2 | 4 | 5 | 8,0.016393 | 0.016129 | 0.015749 | 0.015505 | 0.014706,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,1,UOL_postgraduate_handbook.pdf_p24_c3,University of Liverpool Postgraduate Handbook,0.016009221311475412,False,False,False,0.0,0.0,False,0.0,0.03146680002100766,UOL_postgraduate_handbook.pdf_p24_c3 | UOL_postgraduate_handbook.pdf_p23_c7 | UOL_postgraduate_handbook.pdf_p23_c8 | UOL_postgraduate_handbook.pdf_p24_c1 | UOL_postgraduate_handbook.pdf_p24_c2,University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,24 | 23 | 23 | 24 | 24,1 | 4 | 2 | 3 | 7,4 | 1 | 6 | 5 | 3,0.016009 | 0.016009 | 0.01564 | 0.015629 | 0.015399,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,1,UOL_student_conduct2.pdf_p2_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.015549662487945998,False,False,False,0.0,0.0,False,0.0,0.02865860005840659,UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct1.pdf_p27_c1 | UOL_student_conduct2.pdf_p5_c1 | UOL_undergraduate_handbook.pdf_p40_c6 | UOL_postgraduate_handbook.pdf_p36_c6,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A | Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,2 | 27 | 5 | 40 | 36,1 | 9 | 12 | 2 | 10,8 | 3 | 1 | 11 | 4,0.01555 | 0.015183 | 0.015141 | 0.015107 | 0.014955,Write a direct factual question answerable from the gold evidence.
V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,1,UOL_extenuating_circumstances_policy.pdf_p10_c4,University of Liverpool Extenuating Circumstances Policy,0.01626123744050767,True,True,True,0.2,1.0,True,1.0,0.029921600129455328,UOL_extenuating_circumstances_policy.pdf_p10_c4 | UOL_extenuating_circumstances_policy.pdf_p10_c3 | UOL_extenuating_circumstances_policy.pdf_p16_c6 | UOL_extenuating_circumstances_policy.pdf_p16_c5 | UOL_extenuating_circumstances_policy.pdf_p5_c3,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,10 | 10 | 16 | 16 | 5,1 | 2 | 6 | 5 | 3,2 | 1 | 3 | 4 | 9,0.016261 | 0.016261 | 0.015512 | 0.015505 | 0.015183,Write a direct factual question answerable from the gold evidence.
V2Q015,"If a student stops attending without completing the formal withdrawal or suspension process, their registration and fee liability automatically stop. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p33_c5,1,UOL_undergraduate_handbook.pdf_p37_c5,University of Liverpool Undergraduate Handbook,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.043140399968251586,"UOL_undergraduate_handbook.pdf_p37_c5 | UOL_postgraduate_handbook.pdf_p33_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p4_c4 | UOL_student_conduct2.pdf_p4_c1 | UOL_undergraduate_handbook.pdf_p37_c4","University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Undergraduate Handbook",37 | 33 | 4 | 4 | 37,1 | 2 | 11 | 20 | NA,2 | 1 | 13 | 15 | 3,0.016261 | 0.016261 | 0.013892 | 0.012917 | 0.007937,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q016,"Whose attendance requirements take priority if a professional body, sponsor or degree-apprenticeship provider sets stricter requirements than the University's minimum?",factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3","Student Attendance Policy — Revised July 2025, Version 1.3",0.01639344262295082,True,True,True,0.2,1.0,True,1.0,0.032948399893939495,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c2 | UOL_undergraduate_handbook.pdf_p31_c2 | UOL_undergraduate_handbook.pdf_p32_c8 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p8_c1","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | Student Attendance Policy — Revised July 2025, Version 1.3",2 | 2 | 31 | 32 | 8,1 | 4 | 11 | 14 | 6,1 | 11 | 6 | 4 | 18,0.016393 | 0.014855 | 0.014618 | 0.014569 | 0.013986,Write a direct factual question answerable from the gold evidence.
V2Q017,What sanctions may follow a Category 2 student-conduct breach?,procedural,medium,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p3_c1,1,UOL_student_conduct2.pdf_p2_c1,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.016129032258064516,False,False,False,0.0,0.0,False,0.0,0.026558400131762028,UOL_student_conduct2.pdf_p2_c1 | UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct1.pdf_p4_c4 | UOL_student_conduct2.pdf_p3_c4 | UOL_student_conduct1.pdf_p15_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A,2 | 2 | 4 | 3 | 15,2 | 1 | 5 | 3 | 6,2 | 5 | 1 | 3 | 4,0.016129 | 0.015889 | 0.015889 | 0.015873 | 0.015388,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q018,Where should a taught student submit a formal complaint about an academic matter if informal resolution is not suitable?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1",Student Complaints Policy and Procedure,0.01639344262295082,False,True,True,0.2,1.0,True,0.5,0.03254620009101927,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p14_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p16_c3 | UOL_student_conduct1.pdf_p3_c3",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Conduct Procedures — Appendix A,12 | 12 | 14 | 16 | 3,1 | 4 | 11 | 2 | 12,1 | 3 | 2 | 12 | 8,0.016393 | 0.015749 | 0.015107 | 0.015009 | 0.014297,Write the question using wording different from the source while preserving the same meaning.
V2Q019,A student needs both an available campus computer and specialist help finding and referencing academic sources. Which University services should they use?,reasoning,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p16_c8,1,UOL_undergraduate_handbook.pdf_p16_c5,University of Liverpool Undergraduate Handbook,0.015512265512265512,False,False,False,0.0,0.0,False,0.0,0.04083050019107759,UOL_undergraduate_handbook.pdf_p16_c5 | UOL_postgraduate_handbook.pdf_p16_c5 | UOL_undergraduate_handbook.pdf_p19_c3 | UOL_undergraduate_handbook.pdf_p19_c2 | UOL_undergraduate_handbook.pdf_p16_c1,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook,16 | 16 | 19 | 19 | 16,6 | 7 | 8 | 13 | 17,3 | 4 | 13 | 14 | 15,0.015512 | 0.015275 | 0.014202 | 0.013606 | 0.01316,Require interpretation of the evidence rather than simple keyword copying.
V2Q020,"If accepted extenuating circumstances lead to a permitted reassessment, how many re-sits or re-takes are normally allowed for each affected assessment?",paraphrased,medium,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p15_c3,1,UOL_extenuating_circumstances_policy.pdf_p15_c4,University of Liverpool Extenuating Circumstances Policy,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.034594800090417266,UOL_extenuating_circumstances_policy.pdf_p15_c4 | UOL_extenuating_circumstances_policy.pdf_p15_c3 | UOL_extenuating_circumstances_policy.pdf_p14_c5 | UOL_extenuating_circumstances_policy.pdf_p3_c4 | UOL_extenuating_circumstances_policy.pdf_p15_c5,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,15 | 15 | 14 | 3 | 15,1 | 3 | 7 | 6 | 5,2 | 1 | 8 | 13 | 15,0.016261 | 0.016133 | 0.014816 | 0.014425 | 0.014359,Write the question using wording different from the source while preserving the same meaning.
V2Q021,What can the University do to protect its Student sponsor licence if a Student Route student's circumstances make continued sponsorship inappropriate?,factual,easy,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p13_c6,1,UOL_UKVI_complience.pdf_p9_c2,Policy on UKVI Compliance — Student Route,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.043627999955788255,UOL_UKVI_complience.pdf_p9_c2 | UOL_UKVI_complience.pdf_p14_c2 | UOL_UKVI_complience.pdf_p5_c4 | UOL_UKVI_complience.pdf_p13_c2 | UOL_UKVI_complience.pdf_p3_c1,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,9 | 14 | 5 | 13 | 3,3 | 4 | 12 | 10 | 1,1 | 9 | 2 | 4 | 15,0.016133 | 0.015059 | 0.015009 | 0.014955 | 0.014863,Write a direct factual question answerable from the gold evidence.
V2Q022,What protections and responsibilities apply to a student who makes a complaint in good faith?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2",Student Complaints Policy and Procedure,0.016133229247983348,True,True,True,0.2,1.0,True,1.0,0.027800099924206734,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p6_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p7_c4",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,9 | 6 | 12 | 20 | 7,3 | 2 | 10 | 1 | NA,1 | 2 | 20 | NA | 3,0.016133 | 0.016129 | 0.013393 | 0.008197 | 0.007937,Write the question using wording different from the source while preserving the same meaning.
V2Q023,A complaint reviewer must always meet or correspond with the student throughout the review. Is that correct?,adversarial_false_premise,hard,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2",Student Complaints Policy and Procedure,0.01626123744050767,False,True,True,0.2,1.0,True,0.5,0.029771999921649694,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p15_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p16_c2",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,17 | 17 | 15 | 12 | 16,1 | 2 | 3 | 7 | NA,2 | 1 | 18 | 14 | 3,0.016261 | 0.016261 | 0.014347 | 0.014219 | 0.007937,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q024,What happens to a Student Route visa holder who reaches Stage Three and then fails to meet the agreed re-engagement conditions?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c4","Student Attendance Policy — Revised July 2025, Version 1.3",0.016001024065540194,False,True,True,0.2,1.0,True,0.5,0.043069500010460615,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c4 | UOL_UKVI_complience.pdf_p10_c3 | UOL_UKVI_complience.pdf_p8_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route",7 | 9 | 9 | 10 | 8,2 | 3 | 1 | 8 | 4,3 | 5 | 9 | 7 | 19,0.016001 | 0.015629 | 0.015443 | 0.014816 | 0.014142,Write a direct factual question answerable from the gold evidence.
V2Q025,What basic security precautions does the Undergraduate Handbook recommend for personal property and accommodation?,factual,easy,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p13_c5,1,UOL_undergraduate_handbook.pdf_p13_c9,University of Liverpool Undergraduate Handbook,0.016133229247983348,False,False,False,0.0,0.0,False,0.0,0.030011799884960055,UOL_undergraduate_handbook.pdf_p13_c9 | UOL_postgraduate_handbook.pdf_p13_c1 | UOL_undergraduate_handbook.pdf_p13_c1 | UOL_postgraduate_handbook.pdf_p13_c9 | UOL_undergraduate_handbook.pdf_p13_c8,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,13 | 13 | 13 | 13 | 13,1 | 4 | 3 | 2 | 7,3 | 1 | 2 | 6 | 12,0.016133 | 0.016009 | 0.016001 | 0.01564 | 0.014407,Write a direct factual question answerable from the gold evidence.
