question_id,question,question_type,difficulty,gold_documents,gold_chunk_ids,gold_chunk_count,top_1_chunk_id,top_1_document,top_1_score,top_1_hit,hit_at_3,hit_at_5,precision_at_5,recall_at_5,full_evidence_coverage_at_5,mrr_at_5,retrieval_time_seconds,retrieved_chunk_ids,retrieved_documents,retrieved_pages,notes
V2Q001,"A Student Route visa holder spends an intercalated year at another UK university. What evidence must they give Liverpool, and by when?",paraphrased,medium,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p11_c2,1,UOL_UKVI_complience.pdf_p11_c3,Policy on UKVI Compliance — Student Route,0.7692295,False,True,True,0.2,1.0,True,0.5,0.03284749994054437,UOL_UKVI_complience.pdf_p11_c3 | UOL_UKVI_complience.pdf_p11_c2 | UOL_UKVI_complience.pdf_p11_c1 | UOL_UKVI_complience.pdf_p6_c1 | UOL_UKVI_complience.pdf_p6_c2,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,11 | 11 | 11 | 6 | 6,Write the question using wording different from the source while preserving the same meaning.
V2Q012,"All postgraduate award credit must always be at level 7, with no level 6 credit permitted. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p23_c2,1,UOL_postgraduate_handbook.pdf_p24_c3,University of Liverpool Postgraduate Handbook,0.682196,False,False,False,0.0,0.0,False,0.0,0.01503390003927052,UOL_postgraduate_handbook.pdf_p24_c3 | UOL_postgraduate_handbook.pdf_p23_c8 | UOL_postgraduate_handbook.pdf_p24_c1 | UOL_postgraduate_handbook.pdf_p23_c7 | UOL_postgraduate_handbook.pdf_p24_c6,University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,24 | 23 | 24 | 23 | 24,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q013,What are examples of serious sanctions that a University Disciplinary Panel may impose?,factual,easy,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p4_c1,1,UOL_student_conduct2.pdf_p2_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.7117956,False,False,False,0.0,0.0,False,0.0,0.01450360007584095,UOL_student_conduct2.pdf_p2_c2 | UOL_undergraduate_handbook.pdf_p40_c6 | UOL_student_conduct2.pdf_p2_c1 | UOL_student_conduct2.pdf_p1_c1 | UOL_postgraduate_handbook.pdf_p36_c1,Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Undergraduate Handbook | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | University of Liverpool Postgraduate Handbook,2 | 40 | 2 | 1 | 36,Write a direct factual question answerable from the gold evidence.
V2Q014,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,factual,easy,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p10_c4,1,UOL_extenuating_circumstances_policy.pdf_p10_c4,University of Liverpool Extenuating Circumstances Policy,0.62883425,True,True,True,0.2,1.0,True,1.0,0.01658540009520948,UOL_extenuating_circumstances_policy.pdf_p10_c4 | UOL_extenuating_circumstances_policy.pdf_p10_c3 | UOL_extenuating_circumstances_policy.pdf_p5_c3 | UOL_extenuating_circumstances_policy.pdf_p12_c3 | UOL_extenuating_circumstances_policy.pdf_p16_c5,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,10 | 10 | 5 | 12 | 16,Write a direct factual question answerable from the gold evidence.
V2Q015,"If a student stops attending without completing the formal withdrawal or suspension process, their registration and fee liability automatically stop. Is that correct?",adversarial_false_premise,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p33_c5,1,UOL_undergraduate_handbook.pdf_p37_c5,University of Liverpool Undergraduate Handbook,0.63844395,False,True,True,0.2,1.0,True,0.5,0.023237000219523907,"UOL_undergraduate_handbook.pdf_p37_c5 | UOL_postgraduate_handbook.pdf_p33_c5 | UOL_payment_policy_2026,2027.pdf_p7_c1 | UOL_payment_policy_2026,2027.pdf_p6_c2 | UOL_postgraduate_handbook.pdf_p33_c6",University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Payment Policy 2026-27 | University of Liverpool Payment Policy 2026-27 | University of Liverpool Postgraduate Handbook,37 | 33 | 7 | 6 | 33,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q016,"Whose attendance requirements take priority if a professional body, sponsor or degree-apprenticeship provider sets stricter requirements than the University's minimum?",factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3","Student Attendance Policy — Revised July 2025, Version 1.3",0.73013717,True,True,True,0.2,1.0,True,1.0,0.01748259994201362,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c3 | UOL_UKVI_complience.pdf_p9_c2 | UOL_diversity-equality-opportunity-policy.pdf_p25_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p2_c2 | UOL_undergraduate_handbook.pdf_p23_c8","Student Attendance Policy — Revised July 2025, Version 1.3 | Policy on UKVI Compliance — Student Route | University of Liverpool Diversity, Equality and Opportunity Policy | Student Attendance Policy — Revised July 2025, Version 1.3 | University of Liverpool Undergraduate Handbook",2 | 9 | 25 | 2 | 23,Write a direct factual question answerable from the gold evidence.
V2Q017,What sanctions may follow a Category 2 student-conduct breach?,procedural,medium,Student Conduct Breaches and Indicative Sanctions — Appendix B,UOL_student_conduct2.pdf_p3_c1,1,UOL_student_conduct2.pdf_p2_c2,Student Conduct Breaches and Indicative Sanctions — Appendix B,0.83472633,False,False,False,0.0,0.0,False,0.0,0.015365199884399772,UOL_student_conduct2.pdf_p2_c2 | UOL_student_conduct2.pdf_p2_c1 | UOL_student_conduct2.pdf_p3_c4 | UOL_student_conduct2.pdf_p2_c4 | UOL_student_conduct1.pdf_p4_c4,Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A,2 | 2 | 3 | 2 | 4,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
V2Q018,Where should a taught student submit a formal complaint about an academic matter if informal resolution is not suitable?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1",Student Complaints Policy and Procedure,0.7928562,False,False,True,0.2,1.0,True,0.25,0.022258999990299344,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p16_c3 | UOL_student_conduct1.pdf_p4_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p12_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p11_c1",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Conduct Procedures — Appendix A | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,12 | 16 | 4 | 12 | 11,Write the question using wording different from the source while preserving the same meaning.
V2Q019,A student needs both an available campus computer and specialist help finding and referencing academic sources. Which University services should they use?,reasoning,hard,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p16_c8,1,UOL_postgraduate_handbook.pdf_p16_c8,University of Liverpool Postgraduate Handbook,0.55597025,True,True,True,0.2,1.0,True,1.0,0.01732430001720786,UOL_postgraduate_handbook.pdf_p16_c8 | UOL_undergraduate_handbook.pdf_p16_c8 | UOL_undergraduate_handbook.pdf_p18_c8 | UOL_undergraduate_handbook.pdf_p16_c2 | UOL_postgraduate_handbook.pdf_p16_c2,University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook,16 | 16 | 18 | 16 | 16,Require interpretation of the evidence rather than simple keyword copying.
V2Q020,"If accepted extenuating circumstances lead to a permitted reassessment, how many re-sits or re-takes are normally allowed for each affected assessment?",paraphrased,medium,University of Liverpool Extenuating Circumstances Policy,UOL_extenuating_circumstances_policy.pdf_p15_c3,1,UOL_extenuating_circumstances_policy.pdf_p15_c4,University of Liverpool Extenuating Circumstances Policy,0.73949355,False,True,True,0.2,1.0,True,0.3333333333333333,0.016568700084462762,UOL_extenuating_circumstances_policy.pdf_p15_c4 | UOL_undergraduate_handbook.pdf_p27_c1 | UOL_extenuating_circumstances_policy.pdf_p15_c3 | UOL_extenuating_circumstances_policy.pdf_p13_c4 | UOL_extenuating_circumstances_policy.pdf_p15_c5,University of Liverpool Extenuating Circumstances Policy | University of Liverpool Undergraduate Handbook | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy | University of Liverpool Extenuating Circumstances Policy,15 | 27 | 15 | 13 | 15,Write the question using wording different from the source while preserving the same meaning.
V2Q021,What can the University do to protect its Student sponsor licence if a Student Route student's circumstances make continued sponsorship inappropriate?,factual,easy,Policy on UKVI Compliance — Student Route,UOL_UKVI_complience.pdf_p13_c6,1,UOL_UKVI_complience.pdf_p3_c1,Policy on UKVI Compliance — Student Route,0.6966853,False,False,False,0.0,0.0,False,0.0,0.02045749989338219,UOL_UKVI_complience.pdf_p3_c1 | UOL_UKVI_complience.pdf_p3_c2 | UOL_UKVI_complience.pdf_p9_c2 | UOL_UKVI_complience.pdf_p14_c2 | UOL_UKVI_complience.pdf_p5_c1,Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route | Policy on UKVI Compliance — Student Route,3 | 3 | 9 | 14 | 5,Write a direct factual question answerable from the gold evidence.
V2Q022,What protections and responsibilities apply to a student who makes a complaint in good faith?,paraphrased,medium,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1",Student Complaints Policy and Procedure,0.7126519,False,True,True,0.2,1.0,True,0.3333333333333333,0.016760699916630983,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p20_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p6_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p9_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p8_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p4_c4",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,20 | 6 | 9 | 8 | 4,Write the question using wording different from the source while preserving the same meaning.
V2Q023,A complaint reviewer must always meet or correspond with the student throughout the review. Is that correct?,adversarial_false_premise,hard,Student Complaints Policy and Procedure,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3",1,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2",Student Complaints Policy and Procedure,0.58606386,False,True,True,0.2,1.0,True,0.5,0.014499299926683307,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c3 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p15_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c1 | UOL_Student,Complaints,Policy,and,Procedure.pdf_p13_c1",Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure | Student Complaints Policy and Procedure,17 | 17 | 15 | 17 | 13,Create a plausible but false premise that the evidence allows the system to explicitly reject.
V2Q024,What happens to a Student Route visa holder who reaches Stage Three and then fails to meet the agreed re-engagement conditions?,factual,easy,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c4","Student Attendance Policy — Revised July 2025, Version 1.3",0.679742,False,True,True,0.2,1.0,True,0.3333333333333333,0.019870799966156483,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c4 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c5 | UOL_UKVI_complience.pdf_p8_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p9_c2","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Policy on UKVI Compliance — Student Route | Student Attendance Policy — Revised July 2025, Version 1.3",9 | 7 | 9 | 8 | 9,Write a direct factual question answerable from the gold evidence.
V2Q025,What basic security precautions does the Undergraduate Handbook recommend for personal property and accommodation?,factual,easy,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p13_c5,1,UOL_undergraduate_handbook.pdf_p13_c9,University of Liverpool Undergraduate Handbook,0.610299,False,False,False,0.0,0.0,False,0.0,0.016003700206056237,UOL_undergraduate_handbook.pdf_p13_c9 | UOL_postgraduate_handbook.pdf_p13_c9 | UOL_undergraduate_handbook.pdf_p13_c1 | UOL_postgraduate_handbook.pdf_p13_c1 | UOL_postgraduate_handbook.pdf_p14_c1,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook,13 | 13 | 13 | 13 | 14,Write a direct factual question answerable from the gold evidence.
V2Q026,"According to the Postgraduate Handbook, how should students protect belongings and report a crime?",paraphrased,medium,University of Liverpool Postgraduate Handbook,UOL_postgraduate_handbook.pdf_p13_c6,1,UOL_postgraduate_handbook.pdf_p36_c9,University of Liverpool Postgraduate Handbook,0.6365183,False,False,False,0.0,0.0,False,0.0,0.0169406000059098,UOL_postgraduate_handbook.pdf_p36_c9 | UOL_postgraduate_handbook.pdf_p36_c8 | UOL_student_conduct1.pdf_p3_c4 | UOL_student_conduct2.pdf_p2_c3 | UOL_student_conduct1.pdf_p9_c1,University of Liverpool Postgraduate Handbook | University of Liverpool Postgraduate Handbook | Student Conduct Procedures — Appendix A | Student Conduct Breaches and Indicative Sanctions — Appendix B | Student Conduct Procedures — Appendix A,36 | 36 | 3 | 2 | 9,Write the question using wording different from the source while preserving the same meaning.
V2Q027,What is the purpose of the Stage Two attendance meeting?,paraphrased,medium,"Student Attendance Policy — Revised July 2025, Version 1.3","UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2",1,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2","Student Attendance Policy — Revised July 2025, Version 1.3",0.58838224,True,True,True,0.2,1.0,True,1.0,0.015480399830266833,"UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c2 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c1 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p6_c3 | UOL_StudentAttendancePolicy-REVISEDJUL2025,v1.3.pdf_p7_c3 | UOL_student_conduct1.pdf_p5_c3","Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Attendance Policy — Revised July 2025, Version 1.3 | Student Conduct Procedures — Appendix A",7 | 7 | 6 | 7 | 5,Write the question using wording different from the source while preserving the same meaning.
V2Q028,"If a student cannot receive meningitis immunisation before starting University, whom should they contact for advice?",procedural,medium,University of Liverpool Undergraduate Handbook,UOL_undergraduate_handbook.pdf_p15_c7,1,UOL_undergraduate_handbook.pdf_p15_c7,University of Liverpool Undergraduate Handbook,0.82509625,True,True,True,0.2,1.0,True,1.0,0.016400600085034966,UOL_undergraduate_handbook.pdf_p15_c7 | UOL_postgraduate_handbook.pdf_p15_c7 | UOL_undergraduate_handbook.pdf_p15_c6 | UOL_postgraduate_handbook.pdf_p15_c6 | UOL_undergraduate_handbook.pdf_p15_c1,University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook | University of Liverpool Postgraduate Handbook | University of Liverpool Undergraduate Handbook,15 | 15 | 15 | 15 | 15,"Ask about a process, sequence, requirement, deadline or action described by the evidence."
