system,question_id,question_type,difficulty,n_evidence_verified,gold_in_evidence,n_sentences,n_checkable,n_supported,n_supported_uncited,n_contradicted,n_unsupported,n_nei,faithfulness,unsupported_claim_rate,citation_accuracy,hallucination_risk
S3_corrective_rag,V2Q063,reasoning,hard,5,1.0,3,3,1,0,2,0,0,0.3333,0.6667,1.0,HIGH
S3_corrective_rag,V2Q066,reasoning,hard,5,1.0,4,4,2,0,0,2,0,0.5,0.5,1.0,MEDIUM
S3_corrective_rag,V2Q070,paraphrased,medium,3,0.0,5,5,0,0,3,2,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q073,adversarial_false_premise,hard,5,1.0,6,6,1,2,2,1,0,0.5,0.5,0.3333,HIGH
S3_corrective_rag,V2Q074,factual,easy,5,1.0,4,3,0,0,3,0,1,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q076,reasoning,hard,5,1.0,7,7,4,0,1,2,0,0.5714,0.4286,1.0,HIGH
S3_corrective_rag,V2Q077,adversarial_false_premise,hard,5,1.0,4,4,1,0,2,1,0,0.25,0.75,1.0,HIGH
S3_corrective_rag,V2Q079,factual,easy,1,0.0,2,2,0,0,0,2,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q081,factual,easy,5,0.0,4,4,0,2,0,2,0,0.5,0.5,0.0,MEDIUM
S3_corrective_rag,V2Q082,paraphrased,medium,5,0.0,1,1,0,1,0,0,0,1.0,0.0,,LOW
S3_corrective_rag,V2Q083,multi_document_comparison,hard,1,0.0,5,5,0,0,0,5,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q084,multi_document_comparison,hard,5,1.0,1,1,0,0,0,1,0,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q085,multi_document_comparison,hard,5,0.0,4,3,0,0,3,0,1,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q086,multi_document_comparison,hard,4,0.0,3,3,0,1,0,2,0,0.3333,0.6667,0.0,HIGH
S3_corrective_rag,V2Q087,multi_document_comparison,hard,5,0.5,6,6,3,1,1,1,0,0.6667,0.3333,0.75,HIGH
S3_corrective_rag,V2Q088,multi_document_comparison,hard,5,1.0,7,7,2,1,3,1,0,0.4286,0.5714,0.6667,HIGH
S3_corrective_rag,V2Q091,multi_document_comparison,hard,5,0.0,2,2,1,0,1,0,0,0.5,0.5,1.0,HIGH
S3_corrective_rag,V2Q092,multi_document_comparison,hard,5,0.0,5,5,2,0,0,3,0,0.4,0.6,1.0,HIGH
S3_corrective_rag,V2Q093,multi_document_synthesis,hard,5,0.0,4,4,2,0,1,1,0,0.5,0.5,1.0,HIGH
S3_corrective_rag,V2Q095,multi_document_synthesis,hard,5,0.0,4,4,1,1,2,0,0,0.5,0.5,0.5,HIGH
S3_corrective_rag,V2Q101,multi_document_synthesis,hard,5,0.5,4,3,0,0,0,3,1,0.0,1.0,0.0,HIGH
S3_corrective_rag,V2Q102,multi_document_synthesis,hard,2,0.0,3,3,0,1,2,0,0,0.3333,0.6667,0.0,HIGH
