item_id,question,claim,evidence,human_label,notes
RV011,How do mitigating factors considered under Appendix A relate to the sanctions described in Appendix B?,This process ensures that mitigating factors directly influence the sanction severity by affecting breach categorization.,"[1] (Student Conduct Procedures — Appendix A, page 16)
Student Conduct, Complaints and Compliance 9.7 If the responding student does admit the allegation, then the matter can be dealt with via Chair’s action. The responding student will be asked if they wish to provide any mitigation for consideration by the Chair. See section 3 of Appendix B for further details regarding mitigating factors. Any mitigation received will be considered by the Chair before any sanction is imposed. 9.8 If there is a reporting party in the case, the Student Conduct Manager or nominee will contact them to advise that they believe the matter can be dealt with via Chair’s Action. The reporting party will be asked if they wish to provide an impact statement which will be reviewed by the Chair prior to any sanction being imposed. 9.9 Upon receipt of the student’s respon

[2] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 2)
creased and therefore subject to more severe sanctions. Similarly, there may be circumstances where, if mitigating factors are present as outlined in section 3 of this document, the category of a breach may be reduced and therefore subject to less severe sanctions. 1.3. The list of breaches that follows should not be seen as exhaustive: in cases where an alleged breach does not fit within one of the prescribed categories, the University Disciplinary Panel / Chair or Local Disciplinary Authority will use their discretion to determine the category of a breach. 1.4. Category 1 breaches are likely to be dealt with under Local Disciplinary Action procedures (Appendix A - Student Conduct Procedures, Section 3) and may warrant the imposition of one or more of the following sanctions: • A formal w

[3] (Student Conduct Procedures — Appendix A, page 4)
Sanctions. 3.2 Where an allegation about another student is made to a designated member of staff, or misconduct has been identified in some other way, they must decide if the misconduct can be dealt with under Local Disciplinary Action by referring to the Student Conduct Policy, section 8 which illustrates examples of what types of misconduct can be considered locally. They can also refer to Appendix B – Student Conduct Breaches and Sanctions which sets out a non-exhaustive list of breaches and what category they fall into. Where the conduct under consideration may relate to Freedom of Speech, advice should be sought from the Student Conduct Team. They can also provide advice on which category a APPENDIX A – STUDENT CONDUCT POLICY PROCEDURES

[4] (Student Conduct Procedures — Appendix A, page 6)
Student Conduct, Complaints and Compliance responding student’s opportunity to provide details of any mitigating circumstances. 3.9 Once all meeting notes have been agreed, the designated staff member will have 10 working days to review all of the evidence in the case and make a decision as to whether the alleged breach of the Student Conduct Policy has taken place or not, on the balance of probabilities. 3.10 If the responding student is found to have breached the Student Conduct Policy or has admitted the misconduct, the designated member of staff may impose a sanction in accordance with section 1.4 of Appendix B Student Conduct Breaches. Designated staff members should not usually impose any sanction other than those listed in section 1.4. However, where there are aggravating factors or

[5] (University of Liverpool Undergraduate Handbook, page 39)
The authority of the Board of Discipline More precise definitions and indicative Bribery or attempted bribery including Intentional or reckless damage or Panel allows them to issue any of the above sanctions for misconduct breaches are but not limited to offering or giving defacement to University property or the sanctions that are contained within Chairs detailed in Appendix B – Student Conduct money, gifts or any other advantage to property of students, staff or visitors Action in addition to; a mark of zero for the Breaches and Indicative Sanctions: any student or employee of the whilst on University premises or engaged module in which the misconduct occurred Any breach of University Ordinances, University, honorary staff, recognised in University business. with a right to resit with a",entailed,
RV012,What should a Student visa holder do to protect their immigration status while studying at Liverpool?,"Specifically, they should avoid activities such as opening a business, working self-employed, acting as an employer, or engaging in professional sports or entertainment work, as these are prohibited under their Student visa.","[1] (Policy on UKVI Compliance — Student Route, page 6)
rival date into the UK 4.2 All Student Route visas must confirm the student’s entitlement to study with the University of Liverpool. This will be normally be indicated by the inclusion of the University’s Sponsor Licence Number (SLN), N5WWG40J6. 4.3 The requirement to provide the University with their immigration documentation as part of the registration process applies to all international students, not just those residing in the UK on a Student Route visa. This requirement is made clear to all international students in their pre-arrival and registration guidance documentation. 4.4 The task of verifying and retaining immigration documentation and the responsibility for ensuring compliance with this requirement falls within Student Life. Student Life provides guidance and training annually

[2] (Student Guide for UK Visa Holders 2026, page 3)
0202 03 This document explains the duties the Copy of Academic Technology University has as a visa sponsor. It also Approval Scheme (ATAS) certificate, explains what you need to do during if required your studies to protect your immigration Evidence of any visa refusal and, Introduction status in the UK. By registering with the if applicable, any appeal or The University of Liverpool has a licence with the UK Home University, you agree to meet these administrative review. Office to sponsor international students for visa purposes. responsibilities. If you do not, it may affect your stay in the UK. As a licensed sponsor, the University is As a visa sponsor with a Student licence, the University required to report the following changes has specific duties and responsibilities to UK Visas and

[3] (Student Guide for UK Visa Holders 2026, page 10)
to Student There are also restrictions on what type Administration. of work you can do, you should find out Student visa holders coming to The what these are. For example, you may not: University of Liverpool for an intercalating Open up a business of your own year are permitted to do so whilst Work on a self-employed basis (this holding a Student visa for their previous includes business based outside the institution. These students must provide UK or online businesses) evidence to Student Administration that Act as an employer in any way their Student visa sponsor has notified UKVI of the change of institution. Work as an entertainer Work as a professional sports person Sign a permanent contract of employment.

[4] (Student Guide for UK Visa Holders 2026, page 9)
ts who wish to come to the UK with their families. International students should contact IAG if they require any advice regarding their Study abroad ability to stay in the UK to study at the Student visa holders going on a period of In these cases, return to the UK would University. study abroad as an integral part of their require the student to be issued with a programme are allowed to keep their new CAS in order to apply for a new existing Student visa for the duration of Student visa. their time studying abroad. Students must meet all the immigration International Advice and requirements of the country they Guidance, Student Welfare Advice are going to study in. and Guidance, Alsop Building, Brownlow Hill, Liverpool The University must continue to monitor T: +44(0)151 795 1000 attendan

[5] (Policy on UKVI Compliance — Student Route, page 6)
POLICY ON UKVI - STUDENT COMPLIANCE visa) and the student will be required to leave the UK (where the student remains in the UK). Any later agreement to recommence study at the University would require the student to be issued with a new CAS in order to apply for a new Student Route visa to enter the UK. 4. Immigration documentation 4.1 For all international students, the University is required to verify and retain copies of their: a) Current passport, showing all personal identity (including biometric) details, stamps and/or immigration status documents; and, b) e-visa showing their right to be in the UK and right to study c) Proof of the arrival date into the UK 4.2 All Student Route visas must confirm the student’s entitlement to study with the University of Liverpool. This will be norm",entailed,
RV013,What should a postgraduate student do after becoming a victim of crime if they also need ongoing support?,This is explicitly stated in the Postgraduate Handbook as the recommended step for addressing ongoing support needs after a crime.,"[1] (University of Liverpool Postgraduate Handbook, page 14)
room unnecessary delay. If you have been a victim of crime and of any restricted areas. Check that you The following can help cut down the need ongoing support, then please contact know the local health and safety rules risk of fire: The Wellbeing Team, Alsop Building located and procedures. Find out who your main If you have been a victim Do not smoke in bed (smoking is not on University Square (Building no. 759: contacts are if you have a safety issue permitted in Halls of Residence) of a crime, you should first Ref E7 liverpool.ac.uk/maps). or concern to raise. Do not use candles or oil burners in study report this to the Police and You can also report an incident to the Be aware that most accidents at the bedrooms University via our online reporting tool, University are as a result of

[2] (University of Liverpool Undergraduate Handbook, page 14)
room unnecessary delay. If you have been a victim of crime and of any restricted areas. Check that you The following can help cut down the need ongoing support, then please contact know the local health and safety rules risk of fire: The Wellbeing Team, Alsop Building located and procedures. Find out who your main If you have been a victim Do not smoke in bed (smoking is not on University Square (Building no. 759: contacts are if you have a safety issue permitted in Halls of Residence) of a crime, you should first Ref E7 liverpool.ac.uk/maps). or concern to raise. Do not use candles or oil burners in study report this to the Police and You can also report an incident to the Be aware that most accidents at the bedrooms University via our online reporting tool, University are as a result of",entailed,
RV014,What does the updated Recognition of Prior Learning policy imply about how prior credit must be matched to a programme?,"of the programme, as general credit recognition is no longer permitted.","[1] (University of Liverpool Postgraduate Handbook, page 24)
Where a programme includes level Recognised prior learning Where a programme of study is designed Pass mark and classification 6 modules (as detailed opposite) with credit which exceeds the minimum Credit attributed to previous certificated All Master’s level provision will have clearly that are also available to students on required for the award, the period of time or experiential learning may contribute defined assessments for each module with undergraduate degrees of the University, over which it is intended to be studied will up to one third of the total credit required a module pass mark of 50%. graduates of those undergraduate be extended as appropriate. for a postgraduate award. Applications If a programme of study includes level 6 programmes of study will not be permitted for reco

[2] (University of Liverpool Extenuating Circumstances Policy, page 13)
it. The usual rules with regard to marks achieved in re-assessments will apply (unless the reassessments are being regarded as ‘first attempts’ on account of extenuating circumstances). When an assessment is re-sat/re-taken as a ‘first attempt’ all the options available in relation to first attempts will be available to the Extenuating Circumstances Committee and the Board of Examiners i.e. your examination/assessment will be treated as if you had never previously taken the exam or attempted the assessment. Where the failed credit is ‘carried’ into the next year of study and then re-assessed, the Board of Examiners will not take into account the original claim of extenuating circumstances when considering progression or final degree classification. 5.3 Undergraduate programmes, final year

[3] (University of Liverpool Postgraduate Handbook, page 24)
y policy. Further information about for the award. Where students register for a postgraduate level award. Similarly, where a student has taken a level recognised prior learning can be accessed for modules on a standalone basis, any Students who take a level 6 module on a 7 module as part of an undergraduate at Appendix R to the Code of Practice on credit contributing to an award must be standalone basis must achieve at least degree they have taken at the University Assessment at liverpool.ac.uk/aqsd/ successfully achieved within the maximum 50% or more for the credit to contribute they will not be permitted to take the same academic-codes-of-practice/code-of- registration period for that award In order to a postgraduate award. level 7 module(s) as part of a postgraduate practice-on-assess

[4] (University of Liverpool Postgraduate Handbook, page 32)
nq@liverpool.ac.uk Students before the date of the award of a always premeditated and would include failure to reference appropriately or to are ultimately responsible for ensuring degree, diploma or certificate will be offences subsequent to a prior written adequately identify the source of that their tuition fees are paid. deemed ineligible to be presented for warning of academic malpractice. material used; such an award. Further details, including Where by 2 February 2026 (or by 2 June unacknowledged quotation of The University’s Policy on Academic the Payment Policy 2025/26: Student 2026 for those whose programmes start in phrases from another’s work; Integrity, and the Guidelines for Programme Fees, Accommodation Fees, January 2026) a student fails to make the the deliberate and detai",unsupported,
RV015,How can non-consensual sexual touching be categorised under the indicative conduct sanctions?,in the indicative conduct sanctions.,"[1] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 7)
act of lightly kissing another on the back of a hand) d Touching inappropriately, in what may reasonably be Category 2 or 3 perceived to be a sexual manner, without consent (e.g., touching a person’s clothes, hair or body; standing too close to a person; rubbing or brushing up against them) E Any physical misconduct that is rooted in a sexist view of Category 2 or 3 women, men or any gender may be considered additionally as sexual misconduct F Any physical or sexual misconduct where there is or was Category 3 an intimate relationship between the perpetrator and victim may be considered as an incident of domestic violence and subject to an increased penalty Sexual Misconduct Non-contact Breaches G Sharing or creating private sexual materials in physical Category 2 or 3 spaces (i.e., those m

[2] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 7)
Student Conduct, Complaints and Compliance sanction* A Sexual intercourse or engaging in sexual acts without Category 3 consent** (sexual acts are defined as including, but not limited to, cunnilingus, fellatio, and masturbation) B Attempting to engage in sexual intercourse or a sexual act Category 3 without consent (includes attempting to engage in any of the acts described in 7.2A above). C Kissing without consent (covers a range of potential Category 2 or 3 breaches which vary in severity and may therefore vary in sanction – for example, the act of forcefully kissing another on the lips is likely to be subject to a higher penalty than the act of lightly kissing another on the back of a hand) d Touching inappropriately, in what may reasonably be Category 2 or 3 perceived to be a sexual m

[3] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 8)
e element. Examples of such sanctions are detailed under Category 2 breaches, 1.6 above. **The University uses the following definition of consent. Consent is agreement by choice where the individual has both the freedom and capacity to make that choice. Consent cannot be assumed on the basis of a previous sexual experience or consent previously obtained or from the absence of complaint. Each new sexual act requires confirmation of consent. Consent can be withdrawn at any time, including before or during the sexual act. 7.3 Abusive Behaviour Breaches Indicative sanction A Use of inappropriate language Category 1 or 2 B Use of inappropriate verbal or non-verbal behaviour (e.g., Category 1 or 2 shouting, gesturing) in a way that intimidates others

[4] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 8)
Student Conduct, Complaints and Compliance N Any abusive behaviour misconduct where there is or was Category 2 or 3 an intimate relationship between the perpetrator and victim may be considered as an incident of domestic abuse and subject to an increased sanction O Active complicity in any of the above contact or non-contact Category 1 or 2 acts. Active complicity implies active promotion of the act and does not cover inaction or failing to prevent it) Sexual Misconduct Online or Digital Breaches P Sharing or creating private sexual materials (i.e., those Category 2 or 3 made of an individual with the understanding that such material would not be shared) online or in digital spaces Q Sharing or creating public sexual materials (i.e., those Category 2 pornographic materials that are widely

[5] (Student Conduct Breaches and Indicative Sanctions — Appendix B, page 7)
reased penalty Sexual Misconduct Non-contact Breaches G Sharing or creating private sexual materials in physical Category 2 or 3 spaces (i.e., those made of an individual with the understanding that such material would not be shared) such as videos and photographs H Sharing or creating public sexual materials in physical Category 2 spaces (i.e., those pornographic materials that are widely available via media outlets) with the intention to sexually harass and/or incite gender-based violence I Inappropriately showing sexual organs to another person, Category 2 or 3 or inappropriately allowing sexual organs to be seen, in a physical space J Repeated unwanted and unsolicited contact of a sexual Category 1 or 2 nature with another person in person or by telephone K Making unwanted remarks that",not_a_claim,"There is no actual proposition to test—such as “it is Category 2 or 3.” Although the evidence clearly contains that information, your instruction says to judge the claim that is presented, not reconstruct what the claim was probably intended to say."
RV016,A complaint reviewer must always meet or correspond with the student throughout the review. Is that correct?,"The exception to this is where it is necessary to correspond to set deadlines for receipt of additional information."" Evidence similarly clarifies: ""The Reviewer will not normally correspond..."" Thus, meetings or correspondence are not required unless specific circumstances (e.g., deadlines) arise.","[1] (University of Liverpool Postgraduate Handbook, page 38)
Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion

[2] (University of Liverpool Undergraduate Handbook, page 42)
Students who wish to appeal against The University recognises and is fully Formal Complaint Review the decision of the Board of Examiners committed to meeting its responsibilities If a student is dissatisfied with the response If a student is dissatisfied with the outcome to terminate their studies (other than for to secure and promote academic freedom they receive from Early Resolution, or if they of a Formal Complaint (including those breaches of the Academic Integrity Policy) and free speech, within the law. The feel unable to approach a person directly students at partner institutions), they shall or to deem them withdrawn prior to the University’s Code of Practice Regarding against whom they have a complaint, or be entitled to request a Review of the normal expected date of completion",unsupported,
RV017,Can a full-time student normally claim extenuating circumstances because employment interfered with study or a resit?,I cannot answer this question reliably from the available University documents.,"[1] (University of Liverpool Extenuating Circumstances Policy, page 10)
ime student, you will not normally be eligible to claim for extenuating circumstances in relation to employment. This includes claims relating to resit examinations during vacation periods. If you are a part-time student, you will need to provide written evidence from your employer if unexpected additional work duties prevent you from full engagement with your studies or if you are unable to take leave to attend an assessment. Evidence should normally include a letter from your employer. Events during an on-campus examination You should raise with an invigilator any issue which occurs during an examination which you consider has affected your performance. The invigilator will record this on the examination room report and your School will be informed. If you are taken ill during an exam, y

[2] (University of Liverpool Extenuating Circumstances Policy, page 10)
Committee may not accept your claim if it considers that you have failed to take reasonable precautions (e.g. you have lost work which you did not back up). Religious observance Independent documentary evidence is required in all cases (e.g. a letter from a minister or religious leader) and you must demonstrate that there was a requirement for you to attend or participate, and the reasons why you could not attend on a different occasion which did not coincide with your studies or assessment. Where religious observances require fasting, the University will not normally regard this as an extenuating circumstance. Employment If you are a full-time student, you will not normally be eligible to claim for extenuating circumstances in relation to employment. This includes claims relating to resi

[3] (University of Liverpool Extenuating Circumstances Policy, page 16)
taken in relation to the requirement for you to repeat a failed module or component in the following academic session shall normally stand but you may submit a retrospective claim which shall be considered at the next normal meeting of the Extenuating Circumstances Committee. In this situation, the Extenuating Circumstances Committee may recommend to the Board of Examiners that the original resit result should be disregarded and the resit in the new academic session be regarded in its place (e.g. as your second attempt rather than third attempt). Other than such claims relating to the resit attempt, claims relating to a previous year of study will not normally be considered in subsequent years. c) If your studies have been terminated by the Board of Examiners because of a lack of progress

[4] (University of Liverpool Extenuating Circumstances Policy, page 16)
y will not normally be considered in subsequent years. c) If your studies have been terminated by the Board of Examiners because of a lack of progression, and you consider that you have extenuating circumstances which had not already been considered and that there are valid reasons why you could not have submitted an extenuating circumstances claim before the Board of Examiners met, you may submit evidence of those circumstances to the Faculty Progress Committee through

[5] (University of Liverpool Extenuating Circumstances Policy, page 17)
nt is presenting new or additional material evidence, which, for valid reason, they were unable to provide at the time of submitting the extenuating circumstances claim. In addition, if you are at the end of your programme of studies and you consider that there are extenuating circumstances which for good reason you could not have submitted at the time, you may submit an appeal under the Assessment Appeals Procedure, but this will normally be limited to extenuating circumstances affecting your final year of study only.",entailed,
RV018,Why does the Postgraduate Handbook tell students to use the correct academic regulations and codes for their cohort and degree?,"This ensures that students follow the most current and relevant guidelines for their academic progression, which is essential for maintaining standards and eligibility for their award.","[1] (University of Liverpool Postgraduate Handbook, page 22)
point at academic-codes-of-practice/code-ofbehaviour and academic conduct. challenge reflects the level of further which the student registered for the first practice-on-assessment/ Appendix C is intellectual development appropriate to module which contributes credit towards Over the years, changes are made to these particularly relevant to the postgraduate the equivalent of 12 months’ full-time the award. regulations and codes of practice, and it programmes. advanced study beyond Honours degree is essential that you refer to the correct level. A Master’s degree will provide an framework for your cohort and your type appropriate foundation for research of degree. The information in this section degree registration and/or the qualities is relevant to those students starting and transferable

[2] (University of Liverpool Postgraduate Handbook, page 4)
Introduction This handbook is designed to provide you with relevant information about the operation of the University. As well as giving practical advice, it includes important information on how your degree works and the relevant University regulations you will need to be aware of. Some of this information varies depending on which cohort you belong to. You will be provided with subject-specific information by your School/Institute. If in the unlikely event that the information provided by your School/Institute conflicts with the information provided in this publication, you should, unless officially informed otherwise, follow the information provided in this booklet. Your University – Handbook for Postgraduate04 / Students/05

[3] (University of Liverpool Undergraduate Handbook, page 4)
Introduction This handbook is designed to provide you with relevant information about the operation of the University. As well as giving practical advice, it includes important information on how your degree works and the relevant University regulations you will need to be aware of. Some of this information varies depending on which cohort you belong to. The information in this handbook refers to the 2025/26 cohort of students on undergraduate programmes of study. These are students who start Year One of their studies in September 2025. Students who enter directly into Year Two in September 2025 will be part of the 2024/25 cohort. You will be provided with subject-specific information by your School/Institute. If in the unlikely event that the information provided by your School/Institute

[4] (University of Liverpool Undergraduate Handbook, page 22)
grammes. Committee as a recommendation for as 15 credits per semester; exceptional approval notwithstanding is essential that you refer to the correct (iii) In Year Four of a four-year Bachelor’s Appendix B of the University’s Code of framework for your cohort and your type programme with a year abroad or a year Practice on Assessment. of degree. The information in this section in industry, modules totalling at least 90 is relevant to those students starting their The modules that make up the programme credits must be at level 6; undergraduate degree programme in are also assigned a level. Levels 4, 5 and session 2025/26. 6 all carry a pass mark of 40%. Integrated Master’s programmes will also have level 7 modules which carry a pass mark of 50%. Your University – Handbook for Undergraduate

[5] (University of Liverpool Postgraduate Handbook, page 27)
rmining classification, unless examiner(s) must be undertaken in there are approved extenuating particular circumstances and according to circumstances; or certain rules. These are stipulated in section 4 of the University’s Code of Practice on Take another module in its place; the Assessment (liverpool.ac.uk/aqsd/ mark for this module will be recorded as academic-codes-of-practice/code- the actual mark and will not be capped. of-practice-on-assessment/). In the absence of any extenuating circumstances*, students will not normally be permitted a re- assessment opportunity to improve the mark for any module they have already passed. Your University – Handbook for Postgraduate50 / Students/51",unsupported,
RV019,What may happen if accepted extenuating circumstances affect an undergraduate student's final-year performance but enough assessed work exists to determine an award?,This corrects the false assumption that extenuating circumstances automatically prevent an award if some assessments are affected.,"[1] (University of Liverpool Extenuating Circumstances Policy, page 13)
the original claim of extenuating circumstances when considering progression or final degree classification. 5.3 Undergraduate programmes, final year a) Enough assessed work has been completed to determine an award If extenuating circumstances are judged by the Extenuating Circumstances Committee to have affected your performance in the final year of an undergraduate programme, the Extenuating Circumstances Committee will decide whether there is enough assessed work to determine that an award should be made. If the Extenuating Circumstances Committee considers that there is enough work, they will recommend the award which should be made (including the class of the award, if appropriate). You may be offered the option of: either: accepting that award; or: of re-taking/re-sitting the missed/

[2] (University of Liverpool Extenuating Circumstances Policy, page 14)
CODE OF PRACTICE ON ASSESSMENT – APPENDIX M ANNEXE 1 Policy on Extenuating Circumstances - Guidelines for Staff and Students Up to January 2026 for all online programmes delivered in partnership with Kaplan Higher Education b) Not enough assessed work has been completed to determine an award If the Extenuating Circumstances Committee considers that there is not enough assessed work to determine that an award be made to you, or that the learning outcomes of the programme have not been met, they will recommend that you be offered the option of: either: accepting an aegrotat degree1; or: of re-taking/re-sitting the missed/affected assessments as a ‘first attempt’ at the next ordinary sitting (see section 7, below) You may only be offered an award (other than an aegrotat award) if you have com

[3] (University of Liverpool Extenuating Circumstances Policy, page 15)
t the end of the final year and will make an appropriate recommendation to the Board of Examiners as to the classification of degree you should be awarded. 6. ASSESSMENT MARKS A mark can only be increased if you re-sit/re-take the examination or assessment and achieve a better performance; however, your performance in a resit may result in a lower mark being achieved and recorded as your final mark. If your claim is successful but you choose not to be re-assessed, the mark will not be altered, but the Extenuating Circumstances Committee will consider the impact of the affected mark on your overall results at the end of the final year and will make an appropriate recommendation to the Board of Examiners on the classification of your degree. If you have had extenuating circumstances accepted

[4] (University of Liverpool Undergraduate Handbook, page 30)
on. recognised degree to be awarded to modules on the following basis: classification. students who do not pass their final year at Students may opt not to be re-assessed in the first attempt. In these circumstances, (i) Students who achieve the minimum Where a student who, owing to ill-health all their failed final year modules but rather although students may be allowed re- 330 credits requirement for the award of or other extenuating circumstances, to re-sit/ re-take the requisite number assessment of failed final year modules a classified honours degree but whose has not completed all assessments or which, if passed at an appropriate level, and be awarded a classified degree, the average mark/module profile does not whose performance in their assessments would result in the award of a

[5] (University of Liverpool Extenuating Circumstances Policy, page 14)
attempts’ (see section 7 below). In exceptional circumstances, the Extenuating Circumstances Committee may also recommend that an award be made notwithstanding any failed assessments. 5.5 Situations where no re-sit opportunity is available If you have failed an assessment for which no re-sit opportunity is available (e.g. the assessment of practical laboratory work) and as a result fail the module, the Extenuating Circumstances Committee will recommend to the Board of Examiners that you should be allowed to re-take the assessments the following year: either: by re-taking the year of study; 1 An aegrotat degree is awarded in very exceptional circumstances where, owing to ill health, a student has not completed enough assessed work to be awarded an honours or non-honours degree and is unlike",entailed,
RV020,Can a retrospective extenuating-circumstances claim about a previous resit ever affect how a later resit attempt is counted?,"The policies described focus on adjusting outcomes for the same resit attempt (e.g., treating it as a first attempt or disregarding it) but do not address impacts on subsequent resits.","[1] (University of Liverpool Extenuating Circumstances Policy, page 16)
taken in relation to the requirement for you to repeat a failed module or component in the following academic session shall normally stand but you may submit a retrospective claim which shall be considered at the next normal meeting of the Extenuating Circumstances Committee. In this situation, the Extenuating Circumstances Committee may recommend to the Board of Examiners that the original resit result should be disregarded and the resit in the new academic session be regarded in its place (e.g. as your second attempt rather than third attempt). Other than such claims relating to the resit attempt, claims relating to a previous year of study will not normally be considered in subsequent years. c) If your studies have been terminated by the Board of Examiners because of a lack of progress

[2] (University of Liverpool Extenuating Circumstances Policy, page 16)
e submitted after the Board of Examiners may be considered in the following ways: a) If, prior to a resit period, you consider that your first attempt at an assessment was affected by extenuating circumstances and that there are valid reasons why you could not have submitted an extenuating circumstances claim before the Board of Examiners met, you may submit a retrospective claim for consideration by the Extenuating Circumstances Committee meeting held after the resit period. In this situation, the Extenuating Circumstances Committee will only accept the claim if they consider that there were valid reasons why you could not have submitted the claim before the results of your first attempt were confirmed and that there is sufficient evidence to suggest that your performance at the first att

[3] (University of Liverpool Extenuating Circumstances Policy, page 16)
claim before the results of your first attempt were confirmed and that there is sufficient evidence to suggest that your performance at the first attempt was affected by the claimed circumstances. In this situation, the Extenuating Circumstances Committee may recommend to the Board of Examiners that the resit attempt be regarded as a ‘first attempt.’ b) If, subsequent to a resit period, you consider that the resit attempt was affected by extenuating circumstances and that there are valid reasons why you could not have submitted an extenuating circumstances claim before the Board of Examiners met, any decision which the Board of Examiners has taken in relation to the requirement for you to repeat a failed module or component in the following academic session shall normally stand but you ma

[4] (University of Liverpool Extenuating Circumstances Policy, page 15)
the Extenuating Circumstances Committee to be taken as a first attempt that is uncapped, the Board of Examiners will not take into account the original claim of extenuating circumstances when considering progression or final degree classification. Whenever an examination/assessment is re-assessed, the mark achieved in the re-assessment always replaces any previous mark - even when the earlier mark is higher. 8. EXTENUATING CIRCUMSTANCES AND ELEMENTS OF ASSESSED WORK Where elements of the work making up the final mark are missing (for example, coursework) and the extenuating circumstances are accepted, the Extenuating Circumstances Committee will advise on what work must be completed in order that the final mark can be awarded. Where an assessment or assessments have been missed by a studen

[5] (University of Liverpool Extenuating Circumstances Policy, page 15)
t the end of the final year and will make an appropriate recommendation to the Board of Examiners as to the classification of degree you should be awarded. 6. ASSESSMENT MARKS A mark can only be increased if you re-sit/re-take the examination or assessment and achieve a better performance; however, your performance in a resit may result in a lower mark being achieved and recorded as your final mark. If your claim is successful but you choose not to be re-assessed, the mark will not be altered, but the Extenuating Circumstances Committee will consider the impact of the affected mark on your overall results at the end of the final year and will make an appropriate recommendation to the Board of Examiners on the classification of your degree. If you have had extenuating circumstances accepted",unsupported,
RV021,A student needs both an available campus computer and specialist help finding and referencing academic sources. Which University services should they use?,The student should use the UoL PC Finder tool,"[1] (University of Liverpool Postgraduate Handbook, page 16)
Finder tool to locate subjects for Humanities & Social Sciences You can book a place on an in-person an available computer by visiting https:// plus some subjects for Health &Life session or an online webinar. You also pcseats.liv.ac.uk or you can download Sciences and Science & Engineering. It have 24-hour access to interactive the tool from your App or Play Store by offers PCs, self-service laptops, bookable online tutorials on the library website. searching “UoL PC Finder”. study rooms, bookable tables with screens The MWS provides a wide range of prefor collaborative work and zones for silent, installed software. You can also use quiet and group study. PCs on campus to access the Internet, your University email, and Canvas – the University’s Virtual Learning Environment. Your Universi

[2] (University of Liverpool Undergraduate Handbook, page 16)
Finder tool to locate subjects for Humanities & Social Sciences You can book a place on an in-person an available computer by visiting https:// plus some subjects for Health &Life session or an online webinar. You also pcseats.liv.ac.uk or you can download Sciences and Science & Engineering. It have 24-hour access to interactive online the tool from your App or Play Store by offers PCs, self-service laptops, bookable tutorials on the library website. searching “UoL PC Finder”. study rooms, bookable tables with screens The MWS provides a wide range of prefor collaborative work and zones for silent, installed software. You can also use quiet and group study. PCs on campus to access the Internet, your University email, and Canvas – the University’s Virtual Learning Environment. Your Universi

[3] (University of Liverpool Undergraduate Handbook, page 18)
ures and signposting both as part of the Student Services Centre to central and specialised support services and across the wider University community. for students. For more information, please visit the Student Support Office within your School/Institute. Your University – Handbook for Undergraduate Students32 / /33

[4] (University of Liverpool Undergraduate Handbook, page 16)
e is also provided work with you through feedback. for your personal devices Wi-Fi is available The University Library There is a Reading Room for postgraduate Use your physical student card or digital in many areas, including cafés, bars and researchers, a Leisure & Wellbeing reading The University has two main libraries on student card via the MyLiverpool app to communal areas in Halls of Residence. area and several accessible study areas campus, the Sydney Jones Library and the access the libraries and to borrow and are also available, as well as a Library Get started by visiting wifi.liverpool.ac.uk. Harold Cohen Library. You can also find a return books. You can also print, photocopy Garden. The Sydney Jones Library also Halls of Residence also have wired network Veterinary branch Lib

[5] (University of Liverpool Postgraduate Handbook, page 16)
e is also provided work with you through feedback. for your personal devices Wi-Fi is available The University Library There is a Reading Room for postgraduate Use your physical student card or digital in many areas, including cafés, bars and researchers, a Leisure & Wellbeing reading The University has two main libraries on student card via the MyLiverpool app to communal areas in Halls of Residence. area and several accessible study areas campus, the Sydney Jones Library and the access the libraries and to borrow and are also available, as well as a Library Get started by visiting wifi.liverpool.ac.uk. Harold Cohen Library. You can also find a return books. You can also print, photocopy Garden. The Sydney Jones Library also Halls of Residence also have wired network Veterinary branch Lib",entailed,
