item_id,system,question_id,question_type,label,stratum,cited,best_entailment,best_contradiction,supporting_chunk
RV019,S3_corrective_rag,V2Q041,factual,unsupported,unsupported,,0.417,0.0072,UOL_extenuating_circumstances_policy.pdf_p13_c5
RV020,S2_modular_rag,V2Q074,factual,contradicted,contradicted,,0.8171,0.6164,UOL_extenuating_circumstances_policy.pdf_p15_c5
RV021,S1_basic_rag,V2Q019,reasoning,unsupported,unsupported,,0.4519,0.0738,UOL_undergraduate_handbook.pdf_p16_c8
RV022,S2_modular_rag,V2Q056,reasoning,unsupported,unsupported,2,0.3683,0.0936,UOL_student_conduct2.pdf_p10_c3
RV023,S1_basic_rag,V2Q083,multi_document_comparison,nei,nei,1 2,0.0,0.0,
RV024,S1_basic_rag,V2Q019,reasoning,unsupported,unsupported,1 2,0.1311,0.11,UOL_postgraduate_handbook.pdf_p16_c8
RV025,S2_modular_rag,V2Q025,factual,nei,nei,,0.0,0.0,
RV026,S2_modular_rag,V2Q077,adversarial_false_premise,contradicted,contradicted,,0.4493,0.9823,UOL_student_guide_visa_holders.pdf_p8_c4
RV027,S2_modular_rag,V2Q058,factual,unsupported,unsupported,,0.0032,0.0019,UOL_undergraduate_handbook.pdf_p42_c1
RV028,S3_corrective_rag,V2Q099,multi_document_synthesis,supported_uncited,entailed,3,0.8493,0.0259,UOL_extenuating_circumstances_policy.pdf_p8_c1
RV029,S3_corrective_rag,V2Q004,paraphrased,supported,entailed,3,0.7657,0.0387,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p3_c4"
RV030,S2_modular_rag,V2Q102,multi_document_synthesis,unsupported,unsupported,1,0.0233,0.4513,"UOL_Code,of,Practice,on,Assessment,and,Appendices,2025-26,Summary,of,Changes.pdf_p1_c1"
RV031,S2_modular_rag,V2Q042,factual,contradicted,contradicted,,0.274,0.7667,UOL_undergraduate_handbook.pdf_p39_c5
RV032,S1_basic_rag,V2Q058,factual,unsupported,unsupported,,0.002,0.036,UOL_postgraduate_handbook.pdf_p37_c7
RV033,S1_basic_rag,V2Q042,factual,contradicted,contradicted,,0.9077,0.6598,UOL_undergraduate_handbook.pdf_p40_c10
RV034,S2_modular_rag,V2Q046,factual,nei,nei,,0.0,0.0,
RV035,S3_corrective_rag,V2Q023,adversarial_false_premise,unsupported,unsupported,,0.3224,0.3296,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p17_c2"
RV036,S2_modular_rag,V2Q040,factual,supported_uncited,entailed,,0.9871,0.2231,"UOL_Student,Complaints,Policy,and,Procedure.pdf_p2_c3"
RV037,S3_corrective_rag,V2Q030,procedural,unsupported,unsupported,3 4,0.0082,0.0057,"UOL_payment_policy_2026,2027.pdf_p10_c2"
RV038,S3_corrective_rag,V2Q025,factual,unsupported,unsupported,,0.0129,0.0012,UOL_undergraduate_handbook.pdf_p13_c9
RV039,S2_modular_rag,V2Q085,multi_document_comparison,contradicted,contradicted,,0.415,0.9933,UOL_postgraduate_handbook.pdf_p24_c2
RV040,S1_basic_rag,V2Q035,reasoning,contradicted,contradicted,5,0.8001,0.9929,UOL_extenuating_circumstances_policy.pdf_p15_c5
RV041,S3_corrective_rag,V2Q093,multi_document_synthesis,nei,nei,,0.7992,0.1178,UOL_student_conduct2.pdf_p5_c1
RV042,S1_basic_rag,V2Q033,paraphrased,unsupported,unsupported,,0.0291,0.046,UOL_student_guide_visa_holders.pdf_p4_c5
RV043,S1_basic_rag,V2Q086,multi_document_comparison,contradicted,contradicted,3 4,0.1977,0.7909,UOL_undergraduate_handbook.pdf_p42_c5
RV044,S1_basic_rag,V2Q090,multi_document_comparison,unsupported,unsupported,,0.118,0.0027,UOL_UKVI_complience.pdf_p6_c3
RV045,S3_corrective_rag,V2Q097,multi_document_synthesis,unsupported,unsupported,1,0.1474,0.0062,UOL_extenuating_circumstances_policy.pdf_p4_c2
